"SITE","SITECODE","TREAT","TYPE","DIVISION","SPP","SPP_COUNT_PLOT","COUNT_HA","LAT","LONG","SLOPE","ELEVATION","SOLAR","EXP_MIN","OL_AV","TOTAL_COUNT_PLOT","DECID_COUNT_PLOT","CONIF_COUNT_PLOT","DECID_PROP_PLOT","CONIF_PROP_PLOT","DECID_COUNT_HA","CONIF_COUNT_HA","DECID_COUNT_M","CONIF_COUNT_M"
"DALTON","64_1",1,"TREE","d","ALCR",100,2500,65.70761,-149.19055,7.25036,251.2550049,598158.4809,0,5.2,140,120,20,0.857142857,0.142857143,3000,500,0.3,0.05
"DALTON","64_1",1,"TREE","d","BENE",20,500,65.70761,-149.19055,7.25036,251.2550049,598158.4809,0,5.2,140,120,20,0.857142857,0.142857143,3000,500,0.3,0.05
"DALTON","64_1",1,"TREE","c","PIME",20,500,65.70761,-149.19055,7.25036,251.2550049,598158.4809,0,5.2,140,120,20,0.857142857,0.142857143,3000,500,0.3,0.05
"DALTON","64_1",1,"TREE","d","POTR",0,0,65.70761,-149.19055,7.25036,251.2550049,598158.4809,0,5.2,140,120,20,0.857142857,0.142857143,3000,500,0.3,0.05
"DALTON","64_1",1,"TREE","d","SALIX",0,0,65.70761,-149.19055,7.25036,251.2550049,598158.4809,0,5.2,140,120,20,0.857142857,0.142857143,3000,500,0.3,0.05
"DALTON","65_1",1,"TREE","d","ALCR",3,75,65.70811,-149.19125,6.3059802,245.8760071,597345.7863,2.5,3.3,4,3,1,0.75,0.25,75,25,0.0075,0.0025
"DALTON","65_1",1,"TREE","d","BENE",0,0,65.70811,-149.19125,6.3059802,245.8760071,597345.7863,2.5,3.3,4,3,1,0.75,0.25,75,25,0.0075,0.0025
"DALTON","65_1",1,"TREE","c","PIME",1,25,65.70811,-149.19125,6.3059802,245.8760071,597345.7863,2.5,3.3,4,3,1,0.75,0.25,75,25,0.0075,0.0025
"DALTON","65_1",1,"TREE","d","POTR",0,0,65.70811,-149.19125,6.3059802,245.8760071,597345.7863,2.5,3.3,4,3,1,0.75,0.25,75,25,0.0075,0.0025
"DALTON","65_1",1,"TREE","d","SALIX",0,0,65.70811,-149.19125,6.3059802,245.8760071,597345.7863,2.5,3.3,4,3,1,0.75,0.25,75,25,0.0075,0.0025
"DALTON","16_2",2,"TREE","d","ALCR",0,0,65.70504,-149.15279,4.1869702,322.3699951,606063.6038,2.5,3.2,14,14,0,1,0,350,0,0.035,0
"DALTON","16_2",2,"TREE","d","BENE",8,200,65.70504,-149.15279,4.1869702,322.3699951,606063.6038,2.5,3.2,14,14,0,1,0,350,0,0.035,0
"DALTON","16_2",2,"TREE","c","PIME",0,0,65.70504,-149.15279,4.1869702,322.3699951,606063.6038,2.5,3.2,14,14,0,1,0,350,0,0.035,0
"DALTON","16_2",2,"TREE","d","POTR",1,25,65.70504,-149.15279,4.1869702,322.3699951,606063.6038,2.5,3.2,14,14,0,1,0,350,0,0.035,0
"DALTON","16_2",2,"TREE","d","SALIX",5,125,65.70504,-149.15279,4.1869702,322.3699951,606063.6038,2.5,3.2,14,14,0,1,0,350,0,0.035,0
"DALTON","32_2",2,"TREE","d","ALCR",0,0,65.6884,-149.1244,6.7414899,362.2969971,610389.6289,1.25,1.62,20,20,0,1,0,500,0,0.05,0
"DALTON","32_2",2,"TREE","d","BENE",17,425,65.6884,-149.1244,6.7414899,362.2969971,610389.6289,1.25,1.62,20,20,0,1,0,500,0,0.05,0
"DALTON","32_2",2,"TREE","c","PIME",0,0,65.6884,-149.1244,6.7414899,362.2969971,610389.6289,1.25,1.62,20,20,0,1,0,500,0,0.05,0
"DALTON","32_2",2,"TREE","d","POTR",0,0,65.6884,-149.1244,6.7414899,362.2969971,610389.6289,1.25,1.62,20,20,0,1,0,500,0,0.05,0
"DALTON","32_2",2,"TREE","d","SALIX",3,75,65.6884,-149.1244,6.7414899,362.2969971,610389.6289,1.25,1.62,20,20,0,1,0,500,0,0.05,0
"DALTON","39_2",2,"TREE","d","ALCR",1,25,65.70004,-149.11685,4.0569301,313.4150085,605911.4401,0,7.3,14,14,0,1,0,350,0,0.035,0
"DALTON","39_2",2,"TREE","d","BENE",11,275,65.70004,-149.11685,4.0569301,313.4150085,605911.4401,0,7.3,14,14,0,1,0,350,0,0.035,0
"DALTON","39_2",2,"TREE","c","PIME",0,0,65.70004,-149.11685,4.0569301,313.4150085,605911.4401,0,7.3,14,14,0,1,0,350,0,0.035,0
"DALTON","39_2",2,"TREE","d","POTR",0,0,65.70004,-149.11685,4.0569301,313.4150085,605911.4401,0,7.3,14,14,0,1,0,350,0,0.035,0
"DALTON","39_2",2,"TREE","d","SALIX",2,50,65.70004,-149.11685,4.0569301,313.4150085,605911.4401,0,7.3,14,14,0,1,0,350,0,0.035,0
"DALTON","40_2",2,"TREE","d","ALCR",0,0,65.69016,-149.12027,5.6810298,351.7460022,610103.855,10,2,18,18,0,1,0,450,0,0.045,0
"DALTON","40_2",2,"TREE","d","BENE",11,275,65.69016,-149.12027,5.6810298,351.7460022,610103.855,10,2,18,18,0,1,0,450,0,0.045,0
"DALTON","40_2",2,"TREE","c","PIME",0,0,65.69016,-149.12027,5.6810298,351.7460022,610103.855,10,2,18,18,0,1,0,450,0,0.045,0
"DALTON","40_2",2,"TREE","d","POTR",0,0,65.69016,-149.12027,5.6810298,351.7460022,610103.855,10,2,18,18,0,1,0,450,0,0.045,0
"DALTON","40_2",2,"TREE","d","SALIX",7,175,65.69016,-149.12027,5.6810298,351.7460022,610103.855,10,2,18,18,0,1,0,450,0,0.045,0
"DALTON","47_2",2,"TREE","d","ALCR",22,550,65.69946,-149.15793,5.2288299,266.3460083,600811.2884,0,4.8,28,28,0,1,0,700,0,0.07,0
"DALTON","47_2",2,"TREE","d","BENE",6,150,65.69946,-149.15793,5.2288299,266.3460083,600811.2884,0,4.8,28,28,0,1,0,700,0,0.07,0
"DALTON","47_2",2,"TREE","c","PIME",0,0,65.69946,-149.15793,5.2288299,266.3460083,600811.2884,0,4.8,28,28,0,1,0,700,0,0.07,0
"DALTON","47_2",2,"TREE","d","POTR",0,0,65.69946,-149.15793,5.2288299,266.3460083,600811.2884,0,4.8,28,28,0,1,0,700,0,0.07,0
"DALTON","47_2",2,"TREE","d","SALIX",0,0,65.69946,-149.15793,5.2288299,266.3460083,600811.2884,0,4.8,28,28,0,1,0,700,0,0.07,0
"DALTON","56_2",2,"TREE","d","ALCR",1,25,65.69936,-149.1514,4.3580298,279.446991,602107.422,38.75,3.3,11,11,0,1,0,275,0,0.0275,0
"DALTON","56_2",2,"TREE","d","BENE",8,200,65.69936,-149.1514,4.3580298,279.446991,602107.422,38.75,3.3,11,11,0,1,0,275,0,0.0275,0
"DALTON","56_2",2,"TREE","c","PIME",0,0,65.69936,-149.1514,4.3580298,279.446991,602107.422,38.75,3.3,11,11,0,1,0,275,0,0.0275,0
"DALTON","56_2",2,"TREE","d","POTR",0,0,65.69936,-149.1514,4.3580298,279.446991,602107.422,38.75,3.3,11,11,0,1,0,275,0,0.0275,0
"DALTON","56_2",2,"TREE","d","SALIX",2,50,65.69936,-149.1514,4.3580298,279.446991,602107.422,38.75,3.3,11,11,0,1,0,275,0,0.0275,0
"DALTON","57_2",2,"TREE","d","ALCR",2,50,65.69627,-149.15442,3.48876,260.6889954,600326.3039,43.75,0.9,30,30,0,1,0,750,0,0.075,0
"DALTON","57_2",2,"TREE","d","BENE",27,675,65.69627,-149.15442,3.48876,260.6889954,600326.3039,43.75,0.9,30,30,0,1,0,750,0,0.075,0
"DALTON","57_2",2,"TREE","c","PIME",0,0,65.69627,-149.15442,3.48876,260.6889954,600326.3039,43.75,0.9,30,30,0,1,0,750,0,0.075,0
"DALTON","57_2",2,"TREE","d","POTR",0,0,65.69627,-149.15442,3.48876,260.6889954,600326.3039,43.75,0.9,30,30,0,1,0,750,0,0.075,0
"DALTON","57_2",2,"TREE","d","SALIX",1,25,65.69627,-149.15442,3.48876,260.6889954,600326.3039,43.75,0.9,30,30,0,1,0,750,0,0.075,0
"DALTON","8_2",2,"TREE","d","ALCR",4,100,65.70418,-149.14612,5.25912,336.2000122,607079.4354,42.5,1.4,22,22,0,1,0,550,0,0.055,0
"DALTON","8_2",2,"TREE","d","BENE",7,175,65.70418,-149.14612,5.25912,336.2000122,607079.4354,42.5,1.4,22,22,0,1,0,550,0,0.055,0
"DALTON","8_2",2,"TREE","c","PIME",0,0,65.70418,-149.14612,5.25912,336.2000122,607079.4354,42.5,1.4,22,22,0,1,0,550,0,0.055,0
"DALTON","8_2",2,"TREE","d","POTR",0,0,65.70418,-149.14612,5.25912,336.2000122,607079.4354,42.5,1.4,22,22,0,1,0,550,0,0.055,0
"DALTON","8_2",2,"TREE","d","SALIX",11,275,65.70418,-149.14612,5.25912,336.2000122,607079.4354,42.5,1.4,22,22,0,1,0,550,0,0.055,0
"DALTON","14_3",3,"TREE","d","ALCR",10,250,65.68749,-149.19668,7.5756898,310.9630127,604788.0359,0,0.875,15,15,0,1,0,375,0,0.0375,0
"DALTON","14_3",3,"TREE","d","BENE",1,25,65.68749,-149.19668,7.5756898,310.9630127,604788.0359,0,0.875,15,15,0,1,0,375,0,0.0375,0
"DALTON","14_3",3,"TREE","c","PIME",0,0,65.68749,-149.19668,7.5756898,310.9630127,604788.0359,0,0.875,15,15,0,1,0,375,0,0.0375,0
"DALTON","14_3",3,"TREE","d","POTR",0,0,65.68749,-149.19668,7.5756898,310.9630127,604788.0359,0,0.875,15,15,0,1,0,375,0,0.0375,0
"DALTON","14_3",3,"TREE","d","SALIX",4,100,65.68749,-149.19668,7.5756898,310.9630127,604788.0359,0,0.875,15,15,0,1,0,375,0,0.0375,0
"DALTON","15_3",3,"TREE","d","ALCR",0,0,65.6936,-149.19728,11.0676003,316.0270081,603810.8466,10,2.97,180,180,0,1,0,4500,0,0.45,0
"DALTON","15_3",3,"TREE","d","BENE",160,4000,65.6936,-149.19728,11.0676003,316.0270081,603810.8466,10,2.97,180,180,0,1,0,4500,0,0.45,0
"DALTON","15_3",3,"TREE","c","PIME",0,0,65.6936,-149.19728,11.0676003,316.0270081,603810.8466,10,2.97,180,180,0,1,0,4500,0,0.45,0
"DALTON","15_3",3,"TREE","d","POTR",0,0,65.6936,-149.19728,11.0676003,316.0270081,603810.8466,10,2.97,180,180,0,1,0,4500,0,0.45,0
"DALTON","15_3",3,"TREE","d","SALIX",20,500,65.6936,-149.19728,11.0676003,316.0270081,603810.8466,10,2.97,180,180,0,1,0,4500,0,0.45,0
"DALTON","37_3",3,"TREE","d","ALCR",5,125,65.68577,-149.19524,10.3354998,287.2839966,602007.9447,38.75,2.5,29,29,0,1,0,725,0,0.0725,0
"DALTON","37_3",3,"TREE","d","BENE",7,175,65.68577,-149.19524,10.3354998,287.2839966,602007.9447,38.75,2.5,29,29,0,1,0,725,0,0.0725,0
"DALTON","37_3",3,"TREE","c","PIME",0,0,65.68577,-149.19524,10.3354998,287.2839966,602007.9447,38.75,2.5,29,29,0,1,0,725,0,0.0725,0
"DALTON","37_3",3,"TREE","d","POTR",0,0,65.68577,-149.19524,10.3354998,287.2839966,602007.9447,38.75,2.5,29,29,0,1,0,725,0,0.0725,0
"DALTON","37_3",3,"TREE","d","SALIX",17,425,65.68577,-149.19524,10.3354998,287.2839966,602007.9447,38.75,2.5,29,29,0,1,0,725,0,0.0725,0
"DALTON","54_3",3,"TREE","d","ALCR",0,0,65.69318,-149.19493,8.7726297,336.9719849,606549.7337,67.5,1.25,31,31,0,1,0,775,0,0.0775,0
"DALTON","54_3",3,"TREE","d","BENE",27,675,65.69318,-149.19493,8.7726297,336.9719849,606549.7337,67.5,1.25,31,31,0,1,0,775,0,0.0775,0
"DALTON","54_3",3,"TREE","c","PIME",0,0,65.69318,-149.19493,8.7726297,336.9719849,606549.7337,67.5,1.25,31,31,0,1,0,775,0,0.0775,0
"DALTON","54_3",3,"TREE","d","POTR",0,0,65.69318,-149.19493,8.7726297,336.9719849,606549.7337,67.5,1.25,31,31,0,1,0,775,0,0.0775,0
"DALTON","54_3",3,"TREE","d","SALIX",4,100,65.69318,-149.19493,8.7726297,336.9719849,606549.7337,67.5,1.25,31,31,0,1,0,775,0,0.0775,0
"DALTON","55_3",3,"TREE","d","ALCR",2,50,65.69235,-149.19681,10.9991999,333.5549927,605419.8585,50,1.62,44,44,0,1,0,1100,0,0.11,0
"DALTON","55_3",3,"TREE","d","BENE",30,750,65.69235,-149.19681,10.9991999,333.5549927,605419.8585,50,1.62,44,44,0,1,0,1100,0,0.11,0
"DALTON","55_3",3,"TREE","c","PIME",0,0,65.69235,-149.19681,10.9991999,333.5549927,605419.8585,50,1.62,44,44,0,1,0,1100,0,0.11,0
"DALTON","55_3",3,"TREE","d","POTR",0,0,65.69235,-149.19681,10.9991999,333.5549927,605419.8585,50,1.62,44,44,0,1,0,1100,0,0.11,0
"DALTON","55_3",3,"TREE","d","SALIX",12,300,65.69235,-149.19681,10.9991999,333.5549927,605419.8585,50,1.62,44,44,0,1,0,1100,0,0.11,0
"DALTON","7_3",3,"TREE","d","ALCR",3,75,65.68674,-149.19289,9.26019,292.8930054,602306.2811,32.5,1.7,8,8,0,1,0,200,0,0.02,0
"DALTON","7_3",3,"TREE","d","BENE",2,50,65.68674,-149.19289,9.26019,292.8930054,602306.2811,32.5,1.7,8,8,0,1,0,200,0,0.02,0
"DALTON","7_3",3,"TREE","c","PIME",0,0,65.68674,-149.19289,9.26019,292.8930054,602306.2811,32.5,1.7,8,8,0,1,0,200,0,0.02,0
"DALTON","7_3",3,"TREE","d","POTR",0,0,65.68674,-149.19289,9.26019,292.8930054,602306.2811,32.5,1.7,8,8,0,1,0,200,0,0.02,0
"DALTON","7_3",3,"TREE","d","SALIX",3,75,65.68674,-149.19289,9.26019,292.8930054,602306.2811,32.5,1.7,8,8,0,1,0,200,0,0.02,0
"STEESE","1_0",0,"TREE","d","ALCR",0,0,65.5631,-145.02356,2.58249,442.0629883,618011.3063,0,20.5,94,1,93,0.010638298,0.989361702,25,2325,0.0025,0.2325
"STEESE","1_0",0,"TREE","d","ARCT",0,0,65.5631,-145.02356,2.58249,442.0629883,618011.3063,0,20.5,94,1,93,0.010638298,0.989361702,25,2325,0.0025,0.2325
"STEESE","1_0",0,"TREE","d","BENE",0,0,65.5631,-145.02356,2.58249,442.0629883,618011.3063,0,20.5,94,1,93,0.010638298,0.989361702,25,2325,0.0025,0.2325
"STEESE","1_0",0,"TREE","c","PIME",93,2325,65.5631,-145.02356,2.58249,442.0629883,618011.3063,0,20.5,94,1,93,0.010638298,0.989361702,25,2325,0.0025,0.2325
"STEESE","1_0",0,"TREE","d","POBA",0,0,65.5631,-145.02356,2.58249,442.0629883,618011.3063,0,20.5,94,1,93,0.010638298,0.989361702,25,2325,0.0025,0.2325
"STEESE","1_0",0,"TREE","d","POTR",0,0,65.5631,-145.02356,2.58249,442.0629883,618011.3063,0,20.5,94,1,93,0.010638298,0.989361702,25,2325,0.0025,0.2325
"STEESE","1_0",0,"TREE","d","SALIX",1,25,65.5631,-145.02356,2.58249,442.0629883,618011.3063,0,20.5,94,1,93,0.010638298,0.989361702,25,2325,0.0025,0.2325
"STEESE","31_0",0,"TREE","d","ALCR",0,0,65.5649,-144.96962,1.41787,393.6340027,613316.3514,0,18.6,38,0,38,0,1,0,950,0,0.095
"STEESE","31_0",0,"TREE","d","ARCT",0,0,65.5649,-144.96962,1.41787,393.6340027,613316.3514,0,18.6,38,0,38,0,1,0,950,0,0.095
"STEESE","31_0",0,"TREE","d","BENE",0,0,65.5649,-144.96962,1.41787,393.6340027,613316.3514,0,18.6,38,0,38,0,1,0,950,0,0.095
"STEESE","31_0",0,"TREE","c","PIME",38,950,65.5649,-144.96962,1.41787,393.6340027,613316.3514,0,18.6,38,0,38,0,1,0,950,0,0.095
"STEESE","31_0",0,"TREE","d","POBA",0,0,65.5649,-144.96962,1.41787,393.6340027,613316.3514,0,18.6,38,0,38,0,1,0,950,0,0.095
"STEESE","31_0",0,"TREE","d","POTR",0,0,65.5649,-144.96962,1.41787,393.6340027,613316.3514,0,18.6,38,0,38,0,1,0,950,0,0.095
"STEESE","31_0",0,"TREE","d","SALIX",0,0,65.5649,-144.96962,1.41787,393.6340027,613316.3514,0,18.6,38,0,38,0,1,0,950,0,0.095
"STEESE","6_0",0,"TREE","d","ALCR",0,0,65.56738,-144.92766,2.1138599,367.2260132,610943.4977,0,19.8,60,1,59,0.016666667,0.983333333,25,1475,0.0025,0.1475
"STEESE","6_0",0,"TREE","d","ARCT",0,0,65.56738,-144.92766,2.1138599,367.2260132,610943.4977,0,19.8,60,1,59,0.016666667,0.983333333,25,1475,0.0025,0.1475
"STEESE","6_0",0,"TREE","d","BENE",0,0,65.56738,-144.92766,2.1138599,367.2260132,610943.4977,0,19.8,60,1,59,0.016666667,0.983333333,25,1475,0.0025,0.1475
"STEESE","6_0",0,"TREE","c","PIME",59,1475,65.56738,-144.92766,2.1138599,367.2260132,610943.4977,0,19.8,60,1,59,0.016666667,0.983333333,25,1475,0.0025,0.1475
"STEESE","6_0",0,"TREE","d","POBA",0,0,65.56738,-144.92766,2.1138599,367.2260132,610943.4977,0,19.8,60,1,59,0.016666667,0.983333333,25,1475,0.0025,0.1475
"STEESE","6_0",0,"TREE","d","POTR",0,0,65.56738,-144.92766,2.1138599,367.2260132,610943.4977,0,19.8,60,1,59,0.016666667,0.983333333,25,1475,0.0025,0.1475
"STEESE","6_0",0,"TREE","d","SALIX",1,25,65.56738,-144.92766,2.1138599,367.2260132,610943.4977,0,19.8,60,1,59,0.016666667,0.983333333,25,1475,0.0025,0.1475
"STEESE","9_0",0,"TREE","d","ALCR",0,0,65.56702,-144.9287,1.91345,369.2820129,611139.9469,0,21.9,82,1,81,0.012195122,0.987804878,25,2025,0.0025,0.2025
"STEESE","9_0",0,"TREE","d","ARCT",0,0,65.56702,-144.9287,1.91345,369.2820129,611139.9469,0,21.9,82,1,81,0.012195122,0.987804878,25,2025,0.0025,0.2025
"STEESE","9_0",0,"TREE","d","BENE",0,0,65.56702,-144.9287,1.91345,369.2820129,611139.9469,0,21.9,82,1,81,0.012195122,0.987804878,25,2025,0.0025,0.2025
"STEESE","9_0",0,"TREE","c","PIME",81,2025,65.56702,-144.9287,1.91345,369.2820129,611139.9469,0,21.9,82,1,81,0.012195122,0.987804878,25,2025,0.0025,0.2025
"STEESE","9_0",0,"TREE","d","POBA",0,0,65.56702,-144.9287,1.91345,369.2820129,611139.9469,0,21.9,82,1,81,0.012195122,0.987804878,25,2025,0.0025,0.2025
"STEESE","9_0",0,"TREE","d","POTR",0,0,65.56702,-144.9287,1.91345,369.2820129,611139.9469,0,21.9,82,1,81,0.012195122,0.987804878,25,2025,0.0025,0.2025
