SITE,PLOT,TREAT,DIVISION,SPP,SPP_COUNT_PLOT,QUAD
DALTON,42_1,1,d,POBA,0,1
DALTON,42_1,1,d,POTR,0,1
DALTON,42_1,1,d,SALIX,280,1
DALTON,48_1,1,d,ALCR,0,1
DALTON,48_1,1,d,ARCTO,0,1
DALTON,48_1,1,d,BENE,80,1
DALTON,48_1,1,c,PIGL,0,1
DALTON,48_1,1,c,PIME,1780,1
DALTON,48_1,1,d,POBA,0,1
DALTON,48_1,1,d,POTR,20,1
DALTON,48_1,1,d,SALIX,640,1
DALTON,50_1,1,d,ALCR,80,1
DALTON,50_1,1,d,ARCTO,0,1
DALTON,50_1,1,d,BENE,1550,1
DALTON,50_1,1,c,PIGL,0,1
DALTON,50_1,1,c,PIME,645,1
DALTON,50_1,1,d,POBA,0,1
DALTON,50_1,1,d,POTR,0,1
DALTON,50_1,1,d,SALIX,2790,1
DALTON,52_1,1,d,ALCR,20,1
DALTON,52_1,1,d,ARCTO,0,1
DALTON,52_1,1,d,BENE,0,1
DALTON,52_1,1,c,PIGL,0,1
DALTON,52_1,1,c,PIME,165,1
DALTON,52_1,1,d,POBA,0,1
DALTON,52_1,1,d,POTR,0,1
DALTON,52_1,1,d,SALIX,0,1
DALTON,64_1,1,d,ALCR,120,1
DALTON,64_1,1,d,ARCTO,0,1
DALTON,64_1,1,d,BENE,90,1
DALTON,64_1,1,c,PIGL,0,1
DALTON,64_1,1,c,PIME,10,1
DALTON,64_1,1,d,POBA,0,1
DALTON,64_1,1,d,POTR,0,1
DALTON,64_1,1,d,SALIX,40,1
DALTON,65_1,1,d,ALCR,50,1
DALTON,65_1,1,d,ARCTO,0,1
DALTON,65_1,1,d,BENE,30,1
DALTON,65_1,1,c,PIGL,0,1
DALTON,65_1,1,c,PIME,1620,1
DALTON,65_1,1,d,POBA,0,1
DALTON,65_1,1,d,POTR,0,1
DALTON,65_1,1,d,SALIX,530,1
DALTON,16_2,2,d,ALCR,45,1
DALTON,16_2,2,d,ARCTO,0,1
DALTON,16_2,2,d,BENE,90,1
DALTON,16_2,2,c,PIGL,0,1
DALTON,16_2,2,c,PIME,320,1
DALTON,16_2,2,d,POBA,0,1
DALTON,16_2,2,d,POTR,30,1
DALTON,16_2,2,d,SALIX,1460,1
DALTON,32_2,2,d,ALCR,0,1
DALTON,32_2,2,d,ARCTO,0,1
DALTON,32_2,2,d,BENE,0,1
DALTON,32_2,2,c,PIGL,0,1
DALTON,32_2,2,c,PIME,1,1
DALTON,32_2,2,d,POBA,0,1
DALTON,32_2,2,d,POTR,18,1
DALTON,32_2,2,d,SALIX,1,1
DALTON,39_2,2,d,ALCR,0,1
DALTON,39_2,2,d,ARCTO,0,1
DALTON,39_2,2,d,BENE,0,1
DALTON,39_2,2,c,PIGL,18,1
DALTON,39_2,2,c,PIME,10,1
DALTON,39_2,2,d,POBA,0,1
DALTON,39_2,2,d,POTR,0,1
DALTON,39_2,2,d,SALIX,3,1
DALTON,40_2,2,d,ALCR,0,1
DALTON,40_2,2,d,ARCTO,0,1
DALTON,40_2,2,d,BENE,8,1
DALTON,40_2,2,c,PIGL,0,1
DALTON,40_2,2,c,PIME,54,1
DALTON,40_2,2,d,POBA,0,1
DALTON,40_2,2,d,POTR,4,1
DALTON,40_2,2,d,SALIX,18,1
DALTON,47_2,2,d,ALCR,290,1
DALTON,47_2,2,d,ARCTO,0,1
DALTON,47_2,2,d,BENE,120,1
DALTON,47_2,2,c,PIGL,0,1
DALTON,47_2,2,c,PIME,1370,1
DALTON,47_2,2,d,POBA,0,1
DALTON,47_2,2,d,POTR,0,1
DALTON,47_2,2,d,SALIX,750,1
DALTON,56_2,2,d,ALCR,5,1
DALTON,56_2,2,d,ARCTO,0,1
DALTON,56_2,2,d,BENE,77,1
DALTON,56_2,2,c,PIGL,5,1
DALTON,56_2,2,c,PIME,129,1
DALTON,56_2,2,d,POBA,0,1
DALTON,56_2,2,d,POTR,0,1
DALTON,56_2,2,d,SALIX,720,1
DALTON,57_2,2,d,ALCR,0,1
DALTON,57_2,2,d,ARCTO,0,1
DALTON,57_2,2,d,BENE,436,1
DALTON,57_2,2,c,PIGL,0,1
DALTON,57_2,2,c,PIME,28,1
DALTON,57_2,2,d,POBA,0,1
DALTON,57_2,2,d,POTR,0,1
DALTON,57_2,2,d,SALIX,840,1
DALTON,8_2,2,d,ALCR,43,1
DALTON,8_2,2,d,ARCTO,0,1
DALTON,8_2,2,d,BENE,4,1
DALTON,8_2,2,c,PIGL,0,1
DALTON,8_2,2,c,PIME,48,1
DALTON,8_2,2,d,POBA,0,1
DALTON,8_2,2,d,POTR,0,1
DALTON,8_2,2,d,SALIX,14,1
DALTON,14_3,3,d,ALCR,7,1
DALTON,14_3,3,d,ARCTO,0,1
DALTON,14_3,3,d,BENE,86,1
DALTON,14_3,3,c,PIGL,0,1
DALTON,14_3,3,c,PIME,0,1
DALTON,14_3,3,d,POBA,0,1
DALTON,14_3,3,d,POTR,0,1
DALTON,14_3,3,d,SALIX,35,1
DALTON,15_3,3,d,ALCR,0,1
DALTON,15_3,3,d,ARCTO,0,1
DALTON,15_3,3,d,BENE,2450,1
DALTON,15_3,3,c,PIGL,0,1
DALTON,15_3,3,c,PIME,40,1
DALTON,15_3,3,d,POBA,0,1
DALTON,15_3,3,d,POTR,0,1
DALTON,15_3,3,d,SALIX,110,1
DALTON,37_3,3,d,ALCR,11,1
DALTON,37_3,3,d,ARCTO,0,1
DALTON,37_3,3,d,BENE,29,1
DALTON,37_3,3,c,PIGL,0,1
DALTON,37_3,3,c,PIME,0,1
DALTON,37_3,3,d,POBA,0,1
DALTON,37_3,3,d,POTR,0,1
DALTON,37_3,3,d,SALIX,32,1
DALTON,54_3,3,d,ALCR,0,1
DALTON,54_3,3,d,ARCTO,0,1
DALTON,54_3,3,d,BENE,3,1
DALTON,54_3,3,c,PIGL,0,1
DALTON,54_3,3,c,PIME,1,1
DALTON,54_3,3,d,POBA,0,1
DALTON,54_3,3,d,POTR,0,1
DALTON,54_3,3,d,SALIX,26,1
DALTON,55_3,3,d,ALCR,0,1
DALTON,55_3,3,d,ARCTO,0,1
DALTON,55_3,3,d,BENE,161,1
DALTON,55_3,3,c,PIGL,0,1
DALTON,55_3,3,c,PIME,1,1
DALTON,55_3,3,d,POBA,0,1
DALTON,55_3,3,d,POTR,2,1
DALTON,55_3,3,d,SALIX,27,1
DALTON,7_3,3,d,ALCR,50,1
DALTON,7_3,3,d,ARCTO,0,1
DALTON,7_3,3,d,BENE,310,1
DALTON,7_3,3,c,PIGL,0,1
DALTON,7_3,3,c,PIME,50,1
DALTON,7_3,3,d,POBA,0,1
DALTON,7_3,3,d,POTR,0,1
DALTON,7_3,3,d,SALIX,190,1
STEESE,1_0,0,d,ALCR,0,1
STEESE,1_0,0,d,ARCTO,0,1
STEESE,1_0,0,d,BENE,0,1
STEESE,1_0,0,c,PIGL,0,1
STEESE,1_0,0,c,PIME,132,1
STEESE,1_0,0,d,POBA,0,1
STEESE,1_0,0,d,POTR,0,1
STEESE,1_0,0,d,SALIX,0,1
STEESE,31_0,0,d,ALCR,0,1
STEESE,31_0,0,d,ARCTO,0,1
STEESE,31_0,0,d,BENE,0,1
STEESE,31_0,0,c,PIGL,0,1
STEESE,31_0,0,c,PIME,132,1
STEESE,31_0,0,d,POBA,0,1
STEESE,31_0,0,d,POTR,0,1
STEESE,31_0,0,d,SALIX,11,1
STEESE,6_0,0,d,ALCR,0,1
STEESE,6_0,0,d,ARCTO,0,1
STEESE,6_0,0,d,BENE,0,1
STEESE,6_0,0,c,PIGL,0,1
STEESE,6_0,0,c,PIME,253,1
STEESE,6_0,0,d,POBA,0,1
STEESE,6_0,0,d,POTR,0,1
STEESE,6_0,0,d,SALIX,0,1
STEESE,9_0,0,d,ALCR,0,1
STEESE,9_0,0,d,ARCTO,0,1
STEESE,9_0,0,d,BENE,0,1
STEESE,9_0,0,c,PIGL,0,1
STEESE,9_0,0,c,PIME,132,1
STEESE,9_0,0,d,POBA,0,1
STEESE,9_0,0,d,POTR,0,1
STEESE,9_0,0,d,SALIX,0,1
STEESE,18_1,1,d,ALCR,0,1
STEESE,18_1,1,d,ARCTO,0,1
STEESE,18_1,1,d,BENE,60,1
STEESE,18_1,1,c,PIGL,0,1
STEESE,18_1,1,c,PIME,920,1
STEESE,18_1,1,d,POBA,0,1
STEESE,18_1,1,d,POTR,180,1
STEESE,18_1,1,d,SALIX,500,1
STEESE,20_1,1,d,ALCR,0,1
STEESE,20_1,1,d,ARCTO,0,1
STEESE,20_1,1,d,BENE,0,1
STEESE,20_1,1,c,PIGL,0,1
STEESE,20_1,1,c,PIME,570,1
STEESE,20_1,1,d,POBA,0,1
STEESE,20_1,1,d,POTR,0,1
STEESE,20_1,1,d,SALIX,40,1
STEESE,28_1,1,d,ALCR,0,1
STEESE,28_1,1,d,ARCTO,0,1
STEESE,28_1,1,d,BENE,220,1
STEESE,28_1,1,c,PIGL,0,1
STEESE,28_1,1,c,PIME,940,1
STEESE,28_1,1,d,POBA,0,1
STEESE,28_1,1,d,POTR,90,1
STEESE,28_1,1,d,SALIX,480,1
STEESE,29_1,1,d,ALCR,0,1
STEESE,29_1,1,d,ARCTO,0,1
STEESE,29_1,1,d,BENE,110,1
STEESE,29_1,1,c,PIGL,0,1
STEESE,29_1,1,c,PIME,1150,1
STEESE,29_1,1,d,POBA,0,1
STEESE,29_1,1,d,POTR,20,1
STEESE,29_1,1,d,SALIX,770,1
STEESE,33_1,1,d,ALCR,0,1
STEESE,33_1,1,d,ARCTO,0,1
STEESE,33_1,1,d,BENE,60,1
STEESE,33_1,1,c,PIGL,0,1
STEESE,33_1,1,c,PIME,1860,1
STEESE,33_1,1,d,POBA,0,1
STEESE,33_1,1,d,POTR,0,1
STEESE,33_1,1,d,SALIX,420,1
STEESE,36_1,1,d,ALCR,0,1
STEESE,36_1,1,d,ARCTO,0,1
STEESE,36_1,1,d,BENE,0,1
STEESE,36_1,1,c,PIGL,0,1
STEESE,36_1,1,c,PIME,450,1
STEESE,36_1,1,d,POBA,0,1
STEESE,36_1,1,d,POTR,0,1
STEESE,36_1,1,d,SALIX,280,1
STEESE,5_1,1,d,ALCR,60,1
STEESE,5_1,1,d,ARCTO,0,1
STEESE,5_1,1,d,BENE,70,1
STEESE,5_1,1,c,PIGL,0,1
STEESE,5_1,1,c,PIME,810,1
STEESE,5_1,1,d,POBA,0,1
STEESE,5_1,1,d,POTR,40,1
STEESE,5_1,1,d,SALIX,1250,1
STEESE,19_2,2,d,ALCR,0,1
STEESE,19_2,2,d,ARCTO,0,1
STEESE,19_2,2,d,BENE,80,1
STEESE,19_2,2,c,PIGL,0,1
STEESE,19_2,2,c,PIME,940,1
STEESE,19_2,2,d,POBA,0,1
STEESE,19_2,2,d,POTR,70,1
STEESE,19_2,2,d,SALIX,930,1
STEESE,26_2,2,d,ALCR,50,1
STEESE,26_2,2,d,ARCTO,70,1
STEESE,26_2,2,d,BENE,80,1
STEESE,26_2,2,c,PIGL,0,1
STEESE,26_2,2,c,PIME,1240,1
STEESE,26_2,2,d,POBA,0,1
STEESE,26_2,2,d,POTR,290,1
STEESE,26_2,2,d,SALIX,2400,1
STEESE,27_2,2,d,ALCR,0,1
STEESE,27_2,2,d,ARCTO,0,1
STEESE,27_2,2,d,BENE,80,1
STEESE,27_2,2,c,PIGL,0,1
STEESE,27_2,2,c,PIME,360,1
STEESE,27_2,2,d,POBA,0,1
STEESE,27_2,2,d,POTR,50,1
STEESE,27_2,2,d,SALIX,1280,1
STEESE,3_2,2,d,ALCR,0,1
STEESE,3_2,2,d,ARCTO,100,1
STEESE,3_2,2,d,BENE,150,1
STEESE,3_2,2,c,PIGL,0,1
STEESE,3_2,2,c,PIME,1180,1
STEESE,3_2,2,d,POBA,0,1
STEESE,3_2,2,d,POTR,140,1
STEESE,3_2,2,d,SALIX,1350,1
STEESE,34_2,2,d,ALCR,20,1
STEESE,34_2,2,d,ARCTO,0,1
STEESE,34_2,2,d,BENE,90,1
STEESE,34_2,2,c,PIGL,0,1
STEESE,34_2,2,c,PIME,2080,1
STEESE,34_2,2,d,POBA,0,1
STEESE,34_2,2,d,POTR,460,1
STEESE,34_2,2,d,SALIX,1860,1
STEESE,4_2,2,d,ALCR,0,1
STEESE,4_2,2,d,ARCTO,0,1
STEESE,4_2,2,d,BENE,100,1
STEESE,4_2,2,c,PIGL,0,1
STEESE,4_2,2,c,PIME,420,1
STEESE,4_2,2,d,POBA,0,1
STEESE,4_2,2,d,POTR,210,1
STEESE,4_2,2,d,SALIX,1440,1
STEESE,17_3,3,d,ALCR,30,1
STEESE,17_3,3,d,ARCTO,30,1
STEESE,17_3,3,d,BENE,0,1
STEESE,17_3,3,c,PIGL,0,1
STEESE,17_3,3,c,PIME,30,1
STEESE,17_3,3,d,POBA,0,1
STEESE,17_3,3,d,POTR,210,1
STEESE,17_3,3,d,SALIX,2260,1
STEESE,2_3,3,d,ALCR,0,1
STEESE,2_3,3,d,ARCTO,0,1
STEESE,2_3,3,d,BENE,40,1
STEESE,2_3,3,c,PIGL,0,1
STEESE,2_3,3,c,PIME,20,1
STEESE,2_3,3,d,POBA,0,1
STEESE,2_3,3,d,POTR,170,1
STEESE,2_3,3,d,SALIX,140,1
STEESE,22_3,3,d,ALCR,0,1
STEESE,22_3,3,d,ARCTO,0,1
STEESE,22_3,3,d,BENE,120,1
STEESE,22_3,3,c,PIGL,0,1
STEESE,22_3,3,c,PIME,40,1
STEESE,22_3,3,d,POBA,0,1
STEESE,22_3,3,d,POTR,290,1
STEESE,22_3,3,d,SALIX,1020,1
STEESE,23_3,3,d,ALCR,0,1
STEESE,23_3,3,d,ARCTO,0,1
STEESE,23_3,3,d,BENE,110,1
STEESE,23_3,3,c,PIGL,0,1
STEESE,23_3,3,c,PIME,40,1
STEESE,23_3,3,d,POBA,0,1
STEESE,23_3,3,d,POTR,100,1
STEESE,23_3,3,d,SALIX,740,1
STEESE,24_3,3,d,ALCR,0,1
STEESE,24_3,3,d,ARCTO,20,1
STEESE,24_3,3,d,BENE,120,1
STEESE,24_3,3,c,PIGL,0,1
STEESE,24_3,3,c,PIME,10,1
STEESE,24_3,3,d,POBA,0,1
STEESE,24_3,3,d,POTR,280,1
STEESE,24_3,3,d,SALIX,190,1
STEESE,25_3,3,d,ALCR,10,1
STEESE,25_3,3,d,ARCTO,100,1
STEESE,25_3,3,d,BENE,10,1
STEESE,25_3,3,c,PIGL,0,1
STEESE,25_3,3,c,PIME,40,1
STEESE,25_3,3,d,POBA,0,1
STEESE,25_3,3,d,POTR,280,1
STEESE,25_3,3,d,SALIX,1090,1
STEESE,35_3,3,d,ALCR,0,1
STEESE,35_3,3,d,ARCTO,30,1
STEESE,35_3,3,d,BENE,110,1
STEESE,35_3,3,c,PIGL,0,1
STEESE,35_3,3,c,PIME,60,1
STEESE,35_3,3,d,POBA,0,1
STEESE,35_3,3,d,POTR,0,1
STEESE,35_3,3,d,SALIX,150,1
