SITE,SITECODE,SITENUM,TREATMENT,SUBPLOT,ORGANIC,MINERAL
STEESE,28_1,28,1,7,100,0
STEESE,28_1,28,1,8,100,0
STEESE,28_1,28,1,9,100,0
STEESE,28_1,28,1,10,100,0
STEESE,5_1,5,1,1,100,0
STEESE,5_1,5,1,2,100,0
STEESE,5_1,5,1,3,100,0
STEESE,5_1,5,1,4,100,0
STEESE,5_1,5,1,5,100,0
STEESE,5_1,5,1,6,100,0
STEESE,5_1,5,1,7,100,0
STEESE,5_1,5,1,8,100,0
STEESE,5_1,5,1,9,100,0
STEESE,5_1,5,1,10,100,0
DALTON,32_2,32,2,SE,100,0
DALTON,32_2,32,2,NE,100,0
DALTON,32_2,32,2,NW,95,5
DALTON,32_2,32,2,SW,100,0
DALTON,39_2,39,2,SE,100,0
DALTON,39_2,39,2,SW,100,0
DALTON,39_2,39,2,NW,100,0
DALTON,39_2,39,2,NE,100,0
DALTON,56_2,56,2,SE,50,50
DALTON,56_2,56,2,SW,75,25
DALTON,56_2,56,2,NW,70,30
DALTON,56_2,56,2,NE,50,50
DALTON,57_2,57,2,NW,50,50
DALTON,57_2,57,2,NE,75,25
DALTON,57_2,57,2,SW,60,40
DALTON,57_2,57,2,SE,80,60
DALTON,47_2,47,2,SE,100,0
DALTON,47_2,47,2,NE,100,0
DALTON,47_2,47,2,NW,100,0
DALTON,47_2,47,2,SW,NA,NA
DALTON,37_3,37,3,NW,65,35
DALTON,37_3,37,3,SW,40,0
DALTON,37_3,37,3,SE,40,60
DALTON,37_3,37,3,NE,40,60
DALTON,15_3,15,3,NW,60,40
DALTON,15_3,15,3,SW,100,0
DALTON,15_3,15,3,NW,100,0
DALTON,15_3,15,3,NE,100,0
DALTON,55_3,55,3,SW,65,35
DALTON,55_3,55,3,SE,25,75
DALTON,55_3,55,3,NE,50,50
DALTON,55_3,55,3,NW,60,40
DALTON,54_3,54,3,NE,0,100
DALTON,54_3,54,3,SE,0,100
DALTON,54_3,54,3,SW,30,70
DALTON,54_3,54,3,NW,100,0
DALTON,14_3,14,3,NE,100,0
DALTON,14_3,14,3,NW,100,0
DALTON,14_3,14,3,SW,100,0
DALTON,14_3,14,3,SE,100,0
DALTON,7_3,7,3,SW,30,50
DALTON,7_3,7,3,NW,100,0
DALTON,7_3,7,3,NE,40,30
DALTON,7_3,7,3,SE,50,50
DALTON,12_1,12,1,SE,60,40
DALTON,12_1,12,1,SW,90,10
DALTON,12_1,12,1,NE,100,0
DALTON,12_1,12,1,NW,100,0
DALTON,42_1,42,1,SW,100,0
DALTON,42_1,42,1,NW,60,40
DALTON,42_1,42,1,NE,100,0
DALTON,42_1,42,1,SE,100,0
DALTON,40_2,40,2,SE,100,0
DALTON,40_2,40,2,NE,60,40
DALTON,40_2,40,2,NW,100,0
DALTON,40_2,40,2,SW,100,0
DALTON,8_2,8,2,SW,30,70
DALTON,8_2,8,2,NW,70,30
DALTON,8_2,8,2,NE,50,50
DALTON,8_2,8,2,SE,80,20
DALTON,16_2,16,2,NW,100,0
DALTON,16_2,16,2,NE,90,10
DALTON,16_2,16,2,SE,100,0
DALTON,16_2,16,2,SW,100,0
DALTON,44_0,44,0,SW,100,0
DALTON,44_0,44,0,SE,100,0
DALTON,44_0,44,0,NE,100,0
DALTON,44_0,44,0,NW,100,0
DALTON,48_1,48,1,NE,100,0
DALTON,48_1,48,1,NW,100,0
DALTON,48_1,48,1,SW,70,30
DALTON,48_1,48,1,SE,90,10
DALTON,41_1,41,1,SW,50,50
DALTON,41_1,41,1,NW,80,20
DALTON,41_1,41,1,NE,80,20
DALTON,41_1,41,1,SE,NA,NA
DALTON,10_0,10,0,SE,100,0
DALTON,10_0,10,0,SW,100,0
DALTON,10_0,10,0,NW,100,0
DALTON,10_0,10,0,NE,100,0
DALTON,58_0,58,0,NW,100,0
DALTON,58_0,58,0,NE,100,0
DALTON,58_0,58,0,SE,100,0
DALTON,58_0,58,0,SW,100,0
DALTON,11_0,11,0,SW,100,0
DALTON,11_0,11,0,SE,100,0
DALTON,11_0,11,0,NE,100,0
DALTON,11_0,11,0,NW,100,0
DALTON,52_1,52,1,NW,90,10
DALTON,52_1,52,1,SE,100,0
DALTON,52_1,52,1,SW,90,10
DALTON,52_1,52,1,NE,100,0
DALTON,65_1,65,1,NE,90,10
DALTON,65_1,65,1,SE,100,0
DALTON,65_1,65,1,SW,100,0
DALTON,65_1,65,1,NE,100,0
DALTON,64_1,64,1,SW,100,0
DALTON,64_1,64,1,SE,100,0
DALTON,64_1,64,1,NE,100,0
DALTON,64_1,64,1,NEW,100,0
DALTON,50_1,50,1,NW,100,0
DALTON,50_1,50,1,SW,100,0
DALTON,50_1,50,1,NE,100,0
DALTON,50_1,50,1,SE,100,0
STEESE,1_0,1,0,NW,100,0
STEESE,1_0,1,0,SW,100,0
STEESE,1_0,1,0,NE,100,0
STEESE,1_0,1,0,SE,100,0
STEESE,31_0,31,0,NW,100,0
STEESE,31_0,31,0,SW,100,0
STEESE,31_0,31,0,NE,100,0
STEESE,31_0,31,0,SE,100,0
STEESE,6_0,6,0,NW,100,0
STEESE,6_0,6,0,SW,100,0
STEESE,6_0,6,0,NE,100,0
STEESE,6_0,6,0,SE,100,0
STEESE,9_0,0,0,NW,100,0
STEESE,9_0,0,0,SW,100,0
STEESE,9_0,0,0,NE,100,0
STEESE,9_0,0,0,SE,100,0
