"SITE","PLOT","TREAT","SPP","DBH","CANOPY","BROWSE","UND","START_END","CLUMP","QUAD","DIV","EXP_FACT"
"DALTON","32_2",2,"SALIX",1.3,0,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.3,95,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.7,85,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",0.7,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",0.8,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.1,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.6,100,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",2.5,95,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",6.9,90,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",2.4,95,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",2.7,100,"y","VAUL","","IND",1,"d",100
"DALTON","32_2",2,"BENE",7.9,0,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",3.1,95,"n","VAUL","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.9,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.2,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.9,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",0.3,90,"y","?3 SA_2","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",0.6,15,"n","?3 SA_2","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",1.5,0,"n","?3 SA_2","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",1,80,"y","?3 SA_2","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",0.7,80,"y","?3 SA_2","","IND",1,"d",100
"DALTON","32_2",2,"POTR",2,90,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"POTR",1.1,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",0.8,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",0.2,30,"y","COSU","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",1.3,5,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"PIME",1.7,0,"n","VAUL","","IND",1,"c",100
"DALTON","32_2",2,"SALIX",0.6,100,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",1.1,0,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.9,100,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.3,75,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.5,95,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.3,0,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",0.8,90,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",0.6,100,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.5,90,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.4,90,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.4,80,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"PIME",0.6,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"PIME",0.3,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"BENE",1.2,95,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",6.2,90,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.1,15,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.9,80,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.8,0,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.7,90,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",0.7,0,"n","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.4,5,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.3,80,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.5,40,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.2,60,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.2,100,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"PIME",0.8,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"BENE",1.7,100,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.2,100,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.6,90,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",0.9,95,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",0.2,100,"n","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.6,1,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",3.4,0,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.2,0,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.1,0,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.5,0,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1,0,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.9,40,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.6,0,"n","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1,80,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.1,80,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.1,100,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"PIME",1.3,0,"n","VAUL","","IND",1,"c",100
"DALTON","32_2",2,"BENE",1,95,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.4,90,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.9,85,"n","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"POTR",1.2,90,"y","VAUL","","IND",1,"d",100
"DALTON","32_2",2,"BENE",2.1,90,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.2,50,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",5.6,85,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"POTR",1.1,100,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"PIME",0.4,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"PIME",1.9,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"PIME",2,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"PIME",1.7,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"SALIX",1.4,0,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"SALIX",1.4,20,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",2.4,90,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",4.2,100,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",4.7,100,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.9,90,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1,100,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.3,90,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"PIME",1.4,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"PIME",0.5,0,"n","COSU","","IND",1,"c",100
"DALTON","32_2",2,"PIME",0.5,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"PIME",2.3,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"PIME",1.2,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"PIME",1.3,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"PIME",0.5,0,"n","VAUL","","IND",1,"c",100
"DALTON","32_2",2,"PIME",0.6,0,"n","VAVI","","IND",1,"c",100
"DALTON","32_2",2,"SALIX",0.9,75,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.4,30,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.3,40,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.5,55,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.1,40,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.1,30,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",1.1,0,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.8,40,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",0.2,100,"n","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.3,80,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",0.7,100,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",0.8,100,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",0.6,0,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.7,100,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.7,90,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.3,25,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.7,80,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.1,95,"n","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.2,50,"y","VAUL","","IND",1,"d",100
"DALTON","32_2",2,"BENE",0.6,100,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.8,100,"n","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",0.7,5,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.2,80,"y","VAVI","","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",1.8,80,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.6,5,"y","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.5,90,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.3,85,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"SALIX",0.7,75,"n","VAVI","","IND",1,"d",100
"DALTON","32_2",2,"BENE",1.8,100,"y","VAVI","START","CLUMP",1,"d",100
"DALTON","32_2",2,"BENE",2.3,90,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","32_2",2,"PIME",0.8,0,"n","VAVI","","IND",1,"c",100
"DALTON","39_2",2,"BENE",0.9,95,"y","VAVI","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.7,100,"y","VAVI","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.7,100,"y","VAVI","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.7,100,"y","VAVI","END","CLUMP",2,"d",50
"DALTON","39_2",2,"PIME",1.3,0,"n","MEPA","","IND",2,"c",50
"DALTON","39_2",2,"SALIX",0.9,0,"n","VAVI","","IND",2,"d",50
"DALTON","39_2",2,"BENE",0.6,100,"n","VAVI","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.9,100,"n","VAVI","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.5,95,"y","VAVI","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.3,95,"n","VAVI","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.5,100,"n","VAVI","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.1,95,"n","VAVI","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.1,100,"n","VAVI","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.1,95,"n","VAVI","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.8,95,"n","VAVI","END","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",1.5,100,"n","VAVI","START","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",1.9,100,"n","VAVI","","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",2.1,90,"n","VAVI","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.9,100,"n","VAVI","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.8,90,"n","VAVI","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.9,80,"n","VAVI","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.9,100,"n","VAVI","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.5,100,"n","EQAR","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.6,100,"n","EQAR","END","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",0.7,100,"n","EQAR","","IND",2,"d",50
"DALTON","39_2",2,"SALIX",0.2,100,"n","EQSC","","IND",2,"d",50
"DALTON","39_2",2,"SALIX",0.1,100,"n","EQSC","","IND",2,"d",50
"DALTON","39_2",2,"SALIX",0.2,100,"n","EQAR","START","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",0.2,100,"n","EQAR","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.4,5,"y","EQAR","","IND",2,"d",50
"DALTON","39_2",2,"BENE",0.4,95,"y","EQAR","","IND",2,"d",50
"DALTON","39_2",2,"SALIX",0.5,100,"n","EQAR","START","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",0.5,100,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",0.8,100,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",0.8,100,"n","EQAR","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.4,100,"n","EQSC","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.5,100,"n","EQSC","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.7,95,"y","EQSC","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.5,100,"n","EQSC","END","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",0.6,100,"n","VAVI","START","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",0.5,100,"n","VAVI","","CLUMP",2,"d",50
"DALTON","39_2",2,"SALIX",0.7,100,"n","VAVI","END","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.3,100,"y","EQAR","START","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.9,100,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",0.6,90,"y","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.6,100,"y","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.9,100,"y","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",0.9,95,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.4,95,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",2.7,95,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.3,60,"y","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",2.1,60,"y","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",2,80,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.6,40,"y","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.3,80,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.2,60,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",0.9,60,"y","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",2.1,95,"y","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",0.4,95,"n","EQAR","","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",1.1,0,"y","EQAR","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.5,95,"y","POPA","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.9,85,"y","POPA","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.1,100,"n","POPA","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.7,100,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.9,100,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.7,100,"n","POPA","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.4,90,"y","POPA","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.2,95,"y","POPA","END","CLUMP",2,"d",50
"DALTON","39_2",2,"PIME",2.8,0,"n","POPA","","IND",2,"c",50
"DALTON","39_2",2,"BENE",1.2,20,"y","POPA","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.5,20,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.4,40,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.2,100,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.2,60,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.8,100,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",3,0,"n","POPA","END","CLUMP",2,"d",50
"DALTON","39_2",2,"ALCR",0.2,0,"y","POPA","","IND",2,"d",50
"DALTON","39_2",2,"BENE",2.8,90,"n","POPA","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.3,90,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.5,100,"n","POPA","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.5,90,"n","POPA","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.6,100,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.9,100,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.5,0,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2,0,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",3,0,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.1,80,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.5,100,"n","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.1,3,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.8,15,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.2,6,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.2,80,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.1,95,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.6,100,"y","POPA","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.9,90,"n","POPA","START","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",0.6,60,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.7,60,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.1,7,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",2.1,15,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.2,0,"y","POPA","","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.1,0,"y","POPA","END","CLUMP",2,"d",50
"DALTON","39_2",2,"BENE",1.5,100,"n","POPA","","IND",2,"d",50
"DALTON","39_2",2,"BENE",1.4,100,"n","POPA","","IND",2,"d",50
"DALTON","39_2",2,"ALCR",1.3,95,"y","POPA","","IND",2,"d",50
"DALTON","56_2",2,"SALIX",0.5,95,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",1.3,100,"y","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",1.7,95,"n","VAVI","START","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.9,100,"n","VAVI","","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.5,100,"y","VAVI","END","CLUMP",1,"d",100
"DALTON","56_2",2,"SALIX",0.5,100,"y","VAVI","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.9,100,"n","LITTER","","IND",1,"d",100
"DALTON","56_2",2,"BENE",1.9,100,"y","EQAR","START","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.8,100,"y","EQAR","","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",1.1,100,"n","EQAR","END","CLUMP",1,"d",100
"DALTON","56_2",2,"SALIX",0.6,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.8,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.9,100,"n","EQAR","START","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",1.1,100,"n","EQAR","","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",1.7,100,"n","EQAR","","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",1,100,"n","EQAR","","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",1.6,95,"y","EQAR","END","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",1.4,100,"n","EQAR","START","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.9,100,"n","EQAR","END","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",1.3,100,"y","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"SALIX",1,80,"y","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"SALIX",0.9,90,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",3.6,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"SALIX",1.6,50,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"SALIX",1.3,90,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",1.1,95,"y","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",1.1,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",1.3,95,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.6,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.4,90,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"ALCR",2.3,95,"y","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.9,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.6,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.3,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.4,95,"y","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.1,90,"y","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.3,100,"n","VAVI","START","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.3,100,"y","VAVI","","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.4,100,"n","VAVI","END","CLUMP",1,"d",100
"DALTON","56_2",2,"SALIX",0.5,100,"n","VAVI","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.9,95,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.8,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.6,100,"n","VAVI","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.4,100,"n","EQAR","START","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.7,100,"y","EQAR","","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.7,100,"n","EQAR","","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.5,100,"y","EQAR","END","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.6,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",1.1,100,"n","EQAR","","IND",1,"d",100
"DALTON","56_2",2,"BENE",0.6,90,"n","LITTER","START","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",1.9,100,"n","LITTER","","CLUMP",1,"d",100
"DALTON","56_2",2,"BENE",0.8,95,"n","LITTER","END","CLUMP",1,"d",100
