"SITE","PLOT","TREAT","SPP","DBH","CANOPY","BROWSE","UND","START_END","CLUMP","QUAD"
"STEESE","34_2",2,"BENE",0.3,95,"N","EQAR","","IND",1
"STEESE","34_2",2,"SA_7",0.7,100,"Y","LITTER","START","CLUMP",1
"STEESE","34_2",2,"SA_7",0.1,100,"N","LITTER","","CLUMP",1
"STEESE","34_2",2,"SA_7",0.5,95,"Y","LITTER","END","CLUMP",1
"STEESE","34_2",2,"BENE",1,100,"Y","CHAN","","IND",1
"STEESE","34_2",2,"SAGL",0.4,95,"Y","EQAR","","IND",1
"STEESE","34_2",2,"PIME",1.9,0,"N","CHAN","","IND",1
"STEESE","34_2",2,"SAGL",0.7,100,"Y","LITTER","","IND",1
"STEESE","34_2",2,"BENE",0.2,90,"Y","VAUL","","IND",1
"STEESE","34_2",2,"SAGL",0.5,95,"Y","EQAR","","IND",1
"STEESE","34_2",2,"BENE",0.6,100,"N","VAVI","","IND",1
"STEESE","34_2",2,"SAGL",0.6,90,"Y","EQAR","","IND",1
"STEESE","34_2",2,"BENE",1.2,100,"Y","VAVI","","IND",1
"STEESE","34_2",2,"POTR",0.1,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"BENE",0.8,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.5,95,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.7,100,"Y","MOSS","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.6,95,"Y","MOSS","","CLUMP",1
"STEESE","34_2",2,"SAGL",0.5,100,"Y","MOSS","END","CLUMP",1
"STEESE","34_2",2,"SA_7",0.6,95,"Y","VAUL","","IND",1
"STEESE","34_2",2,"SA_7",0.6,80,"N","MOSS","START","CLUMP",1
"STEESE","34_2",2,"SA_7",0.2,100,"N","MOSS","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.5,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SA_5",0.7,100,"Y","EQAR","START","CLUMP",1
"STEESE","34_2",2,"SA_5",0.5,100,"Y","EQAR","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.9,70,"N","MOSS","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.6,100,"Y","MOSS","","CLUMP",1
"STEESE","34_2",2,"SAGL",0.7,95,"Y","MOSS","END","CLUMP",1
"STEESE","34_2",2,"SA_5",0.8,100,"N","MOSS","START","CLUMP",1
"STEESE","34_2",2,"SA_5",0.7,90,"N","MOSS","","CLUMP",1
"STEESE","34_2",2,"SA_5",0.8,100,"Y","MOSS","","CLUMP",1
"STEESE","34_2",2,"SA_5",0.4,30,"Y","MOSS","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.7,95,"Y","LITTER","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.5,95,"N","LITTER","","CLUMP",1
"STEESE","34_2",2,"SAGL",0.3,100,"N","LITTER","","CLUMP",1
"STEESE","34_2",2,"SAGL",0.1,100,"N","LITTER","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.8,95,"Y","MOSS","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.6,95,"Y","MOSS","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.4,95,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.4,100,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",1.1,95,"Y","LITTER","START","START",1
"STEESE","34_2",2,"SAGL",0.3,30,"Y","LITTER","END","END",1
"STEESE","34_2",2,"SAGL",0.4,95,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.8,100,"Y","MOSS","START","CLUMP",1
"STEESE","34_2",2,"SAGL",1,40,"Y","MOSS","","CLUMP",1
"STEESE","34_2",2,"SAGL",1.2,100,"Y","MOSS","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.4,95,"Y","LITTER","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.3,95,"N","LITTER","","CLUMP",1
"STEESE","34_2",2,"SAGL",1.1,45,"Y","LITTER","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.9,90,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.4,30,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.3,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SA_6",0.5,100,"Y","MOSS","","IND",1
"STEESE","34_2",2,"BENE",0.4,100,"N","CHAN","","IND",1
"STEESE","34_2",2,"BENE",0.6,95,"Y","LEGR","","IND",1
"STEESE","34_2",2,"BENE",0.3,70,"Y","LITTER","","IND",1
"STEESE","34_2",2,"POTR",0.1,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SA_7",0.8,95,"Y","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.1,95,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.6,80,"Y","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.2,100,"N","GRASS","","IND",1
"STEESE","34_2",2,"SAGL",0.3,100,"N","MOSS","","IND",1
"STEESE","34_2",2,"SA_6",0.4,100,"N","MOSS","","IND",1
"STEESE","34_2",2,"SA_7",0.7,100,"N","MOSS","","IND",1
"STEESE","34_2",2,"POTR",0.9,80,"N","MOSS","","IND",1
"STEESE","34_2",2,"SA_6",0.5,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.3,100,"N","LITTER","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.4,100,"N","LITTER","END","CLUMP",1
"STEESE","34_2",2,"SA_6",0.3,100,"N","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.3,95,"N","CHAN","","IND",1
"STEESE","34_2",2,"SAGL",0.4,95,"Y","CHAN","","IND",1
"STEESE","34_2",2,"SA_6",0.3,100,"Y","LEGR","","IND",1
"STEESE","34_2",2,"SA_6",0.3,100,"N","MOSS","","IND",1
"STEESE","34_2",2,"SA_6",0.7,100,"Y","LEDE","","IND",1
"STEESE","34_2",2,"SA_6",0.4,90,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SA_6",0.3,100,"N","MOSS","","IND",1
"STEESE","34_2",2,"SA_6",0.3,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SA_6",0.2,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SA_6",0.3,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SA_6",0.3,85,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SA_6",0.1,100,"N","GRASS","","IND",1
"STEESE","34_2",2,"SAGL",0.4,100,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.6,95,"Y","LEDE","","IND",1
"STEESE","34_2",2,"SAGL",0.4,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.4,95,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.4,95,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.3,50,"N","CHAN","","IND",1
"STEESE","34_2",2,"SAGL",0.5,45,"N","EQAR","","IND",1
"STEESE","34_2",2,"SAGL",0.6,100,"N","LITTER","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.5,100,"N","LITTER","END","CLUMP",1
"STEESE","34_2",2,"SA_6",0.7,85,"Y","MOSS","","IND",1
"STEESE","34_2",2,"SAGL",0.7,95,"N","LITTER","","IND",1
"STEESE","34_2",2,"SAGL",0.4,80,"N","EQAR","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.4,70,"Y","EQAR","","CLUMP",1
"STEESE","34_2",2,"SAGL",0.4,50,"N","EQAR","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.3,100,"N","GRASS","","IND",1
"STEESE","34_2",2,"SAGL",0.7,90,"Y","MOSS","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.9,30,"Y","MOSS","","CLUMP",1
"STEESE","34_2",2,"SAGL",0.4,90,"Y","MOSS","END","CLUMP",1
"STEESE","34_2",2,"SA_6",0.4,95,"N","CHAN","","IND",1
"STEESE","34_2",2,"SA_6",0.5,100,"N","LITTER","","IND",1
"STEESE","34_2",2,"SA_7",0.4,20,"Y","CHAN","","IND",1
"STEESE","34_2",2,"PIME",3.6,0,"N","LEGR","","IND",1
"STEESE","34_2",2,"PIME",3.6,0,"N","LEGR","","IND",1
"STEESE","34_2",2,"SAGL",0.3,70,"Y","VAUL","START","CLUMP",1
"STEESE","34_2",2,"SAGL",0.9,100,"Y","VAUL","END","CLUMP",1
"STEESE","34_2",2,"SAGL",0.2,100,"N","EQAR","","IND",1
"STEESE","34_2",2,"BENE",5,95,"Y","LEGR","","IND",1
"STEESE","34_2",2,"PIME",3.2,0,"N","LEGR","","IND",1
"STEESE","34_2",2,"BENE",0.2,100,"N","CHAN","","IND",1
"STEESE","34_2",2,"PIME",2.3,0,"N","VAVI","","IND",1
"STEESE","34_2",2,"SAGL",0.7,100,"Y","MOSS","","IND",1
"STEESE","34_2",2,"PIME",0.7,0,"N","VAIL","","IND",1
"STEESE","34_2",2,"SA_6",0.2,100,"N","MOSS","","IND",1
"STEESE","22_3",3,"POTR",1.9,70,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1.5,80,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1,100,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",2.2,90,"N","CHAN","START","CLUMP",2
"STEESE","22_3",3,"SAGL",0.2,60,"N","CHAN","","CLUMP",2
"STEESE","22_3",3,"SAGL",0.5,60,"N","CHAN","","CLUMP",2
"STEESE","22_3",3,"SAGL",0.9,50,"N","CHAN","","CLUMP",2
"STEESE","22_3",3,"SAGL",0.4,50,"N","CHAN","END","CLUMP",2
"STEESE","22_3",3,"POTR",0.5,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1,60,"N","EQAR","","IND",2
"STEESE","22_3",3,"BENE",0.3,90,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"BENE",1.1,95,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"SAGL",0.9,60,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",1,50,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.4,50,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1,70,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.2,70,"N","LITTER","","IND",2
"STEESE","22_3",3,"POTR",0.3,60,"N","CHAN","","IND",2
"STEESE","22_3",3,"POTR",1,40,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.7,80,"N","MOSS","","IND",2
"STEESE","22_3",3,"SA_6",0.4,90,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"SAGL",0.2,90,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"SAGL",0.3,90,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"SAGL",1.4,90,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"POTR",0.9,90,"N","CHAN","","IND",2
"STEESE","22_3",3,"SAGL",0.7,100,"N","EQSC","START","CLUMP",2
"STEESE","22_3",3,"SA_6",0.2,100,"N","EQSC","","CLUMP",2
"STEESE","22_3",3,"SA_6",0.9,95,"N","EQSC","","CLUMP",2
"STEESE","22_3",3,"SA_6",1,100,"N","EQSC","","CLUMP",2
"STEESE","22_3",3,"SA_6",0.6,100,"N","EQSC","END","CLUMP",2
"STEESE","22_3",3,"SAGL",0.4,95,"N","LICHEN","","IND",2
"STEESE","22_3",3,"POTR",0.5,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.2,100,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",0.2,100,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1.5,80,"N","CHAN","","IND",2
"STEESE","22_3",3,"SAGL",0.2,90,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1.9,80,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",2,95,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"SAGL",1.3,90,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"SAGL",1.2,90,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"SAGL",1.1,90,"Y","EQAR","","CLUMP",2
"STEESE","22_3",3,"SAGL",1.5,85,"Y","EQAR","","CLUMP",2
"STEESE","22_3",3,"SAGL",0.3,40,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"POTR",0.5,75,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.5,50,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",0.4,90,"N","EQAR","","IND",2
"STEESE","22_3",3,"SA_6",0.5,40,"N","EQSC","START","CLUMP",2
"STEESE","22_3",3,"SA_6",0.8,40,"N","EQSC","END","CLUMP",2
"STEESE","22_3",3,"SAGL",1.1,70,"Y","CHAN","START","CLUMP",2
"STEESE","22_3",3,"SAGL",0.5,80,"N","CHAN","END","CLUMP",2
"STEESE","22_3",3,"SA_6",0.8,90,"N","EQAR","","IND",2
"STEESE","22_3",3,"SA_6",0.2,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1.4,80,"N","CHAN","START","CLUMP",2
"STEESE","22_3",3,"POTR",1,80,"N","CHAN","END","CLUMP",2
"STEESE","22_3",3,"POTR",1.9,80,"N","CHAN","","IND",2
"STEESE","22_3",3,"SA_6",0.2,50,"N","CHAN","START","CLUMP",2
"STEESE","22_3",3,"SA_6",0.2,50,"N","CHAN","","CLUMP",2
"STEESE","22_3",3,"SA_6",0.1,50,"N","CHAN","END","CLUMP",2
"STEESE","22_3",3,"ARCTO",0.2,100,"N","CHAN","START","CLUMP",2
"STEESE","22_3",3,"ARCTO",0.2,100,"N","CHAN","END","CLUMP",2
"STEESE","22_3",3,"SA_7",1.3,40,"N","CHAN","","IND",2
"STEESE","22_3",3,"SA_7",1,40,"N","CHAN","","IND",2
"STEESE","22_3",3,"SA_7",0.5,40,"N","CHAN","","IND",2
"STEESE","22_3",3,"POTR",0.3,70,"N","EQAR","","IND",2
"STEESE","22_3",3,"ARCTO",0.4,95,"N","VAVI","START","CLUMP",2
"STEESE","22_3",3,"ARCTO",0.2,95,"N","VAVI","","CLUMP",2
"STEESE","22_3",3,"ARCTO",0.2,90,"N","VAVI","END","CLUMP",2
"STEESE","22_3",3,"POTR",2.5,80,"N","EQAR","","IND",2
"STEESE","22_3",3,"BENE",0.2,100,"N","VAVI","","IND",2
"STEESE","22_3",3,"POTR",1.4,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"BENE",0.7,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",2.6,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1,95,"N","CHAN","","IND",2
"STEESE","22_3",3,"SAGL",1.8,60,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",0.6,95,"N","CHAN","","IND",2
"STEESE","22_3",3,"SAGL",1.8,95,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"SAGL",1,95,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"SAGL",1.1,40,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"SAGL",1.5,60,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"POTR",1.1,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",0.1,50,"N","EQAR","","IND",2
"STEESE","22_3",3,"BENE",0.2,100,"N","LITTER","","IND",2
"STEESE","22_3",3,"POTR",2,80,"N","CHAN","","IND",2
"STEESE","22_3",3,"BENE",2.6,90,"N","CHAN","","IND",2
"STEESE","22_3",3,"SA_6",2.6,85,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.6,85,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.4,40,"N","EQAR","","IND",2
"STEESE","22_3",3,"BENE",0.3,95,"N","VAVI","","IND",2
"STEESE","22_3",3,"SAGL",0.2,40,"N","CHAN","","IND",2
"STEESE","22_3",3,"BENE",0.3,100,"N","VAVI","","IND",2
"STEESE","22_3",3,"SAGL",0.8,40,"N","EQAR","","IND",2
"STEESE","22_3",3,"BENE",0.8,100,"N","VAVI","","IND",2
"STEESE","22_3",3,"SAGL",0.6,60,"N","CHAN","START","CLUMP",2
"STEESE","22_3",3,"SAGL",0.2,40,"N","CHAN","END","CLUMP",2
"STEESE","22_3",3,"BENE",0.4,95,"N","LITTER","","IND",2
"STEESE","22_3",3,"POTR",0.7,60,"N","LITTER","","IND",2
"STEESE","22_3",3,"POTR",0.6,60,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",0.1,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"SA_7",0.4,60,"N","CHAN","","IND",2
"STEESE","22_3",3,"BENE",0.3,100,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"BENE",0.6,100,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"BENE",0.7,95,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"BENE",0.4,100,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"POTR",1.9,60,"N","CHAN","","IND",2
"STEESE","22_3",3,"SAGL",1.3,80,"N","GRASS","","IND",2
"STEESE","22_3",3,"SAGL",1.1,90,"N","GRASS","","IND",2
"STEESE","22_3",3,"SA_7",0.8,40,"N","LITTER","","IND",2
"STEESE","22_3",3,"BENE",0.7,100,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"BENE",1,100,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"BENE",0.6,95,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"BENE",0.3,95,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"PIME",0.9,100,"N","EQAR","","IND",2
"STEESE","22_3",3,"SA_6",0.3,95,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"SA_6",0.4,40,"N","EQAR","","CLUMP",2
"STEESE","22_3",3,"SA_6",0.3,70,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"BENE",0.3,75,"N","EQAR","","IND",2
"STEESE","22_3",3,"SA_6",0.2,60,"N","CHAN","","IND",2
"STEESE","22_3",3,"BENE",0.2,100,"N","VAVI","START","CLUMP",2
"STEESE","22_3",3,"BENE",0.5,95,"N","VAVI","END","CLUMP",2
"STEESE","22_3",3,"POTR",0.8,75,"N","CHAN","","IND",2
"STEESE","22_3",3,"BENE",0.3,80,"N","VAVI","","IND",2
"STEESE","22_3",3,"POTR",0.5,40,"N","EQAR","","IND",2
"STEESE","22_3",3,"BENE",0.5,95,"N","VAUL","START","CLUMP",2
"STEESE","22_3",3,"BENE",0.3,95,"N","VAUL","END","CLUMP",2
"STEESE","22_3",3,"POTR",0.3,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"BENE",1,100,"N","VAUL","","IND",2
"STEESE","22_3",3,"BENE",0.4,100,"N","VAUL","","IND",2
"STEESE","22_3",3,"BENE",0.6,95,"N","VAVI","START","CLUMP",2
"STEESE","22_3",3,"BENE",1.5,100,"N","VAVI","END","CLUMP",2
"STEESE","22_3",3,"POTR",2.5,95,"N","CHAN","","IND",2
"STEESE","22_3",3,"POTR",3.5,95,"N","VAVI","","IND",2
"STEESE","22_3",3,"SA_7",0.8,70,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"SA_7",0.5,75,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"POTR",0.2,80,"N","VAVI","","IND",2
"STEESE","22_3",3,"POTR",2.4,80,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"POTR",1.8,80,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"POTR",0.2,95,"N","EQSC","","IND",2
"STEESE","22_3",3,"SAGL",0.5,90,"N","VAVI","","IND",2
"STEESE","22_3",3,"SA_7",0.2,95,"N","LEGR","START","CLUMP",2
"STEESE","22_3",3,"SA_7",0.2,95,"N","LEGR","","CLUMP",2
"STEESE","22_3",3,"SA_7",0.3,95,"N","LEGR","","CLUMP",2
"STEESE","22_3",3,"SA_7",0.3,70,"N","LEGR","","CLUMP",2
"STEESE","22_3",3,"SA_7",0.2,100,"N","LEGR","","CLUMP",2
"STEESE","22_3",3,"SA_7",1,95,"Y","LEGR","","CLUMP",2
"STEESE","22_3",3,"SA_7",1.3,80,"N","LEGR","END","CLUMP",2
"STEESE","22_3",3,"POTR",0.5,90,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",1.1,90,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.2,95,"N","CHAN","","IND",2
"STEESE","22_3",3,"POTR",2.6,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.8,80,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",0.3,95,"N","CHAN","","IND",2
"STEESE","22_3",3,"POTR",0.8,85,"N","EQAR","","IND",2
"STEESE","22_3",3,"SAGL",1,90,"N","EQAR","START","CLUMP",2
"STEESE","22_3",3,"SAGL",0.8,90,"N","EQAR","END","CLUMP",2
"STEESE","22_3",3,"SAGL",0.5,90,"Y","CHAN","","IND",2
"STEESE","22_3",3,"SAGL",0.3,90,"Y","EQAR","","IND",2
"STEESE","22_3",3,"SA_7",0.2,90,"N","CHAN","START","CLUMP",2
"STEESE","22_3",3,"SA_7",0.5,90,"N","CHAN","","CLUMP",2
"STEESE","22_3",3,"SA_7",1.4,80,"N","CHAN","END","CLUMP",2
"STEESE","22_3",3,"SA_6",0.3,70,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",3.2,90,"N","EQAR","","IND",2
"STEESE","22_3",3,"SA_6",0.7,95,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",1.9,90,"N","EQAR","","IND",2
"STEESE","22_3",3,"POTR",0.2,95,"N","LITTER","","IND",2
"STEESE","22_3",3,"SA_7",0.4,70,"N","LITTER","","IND",2
"STEESE","22_3",3,"POTR",2.5,95,"N","CHAN","","IND",2
"STEESE","22_3",3,"SAGL",0.7,60,"N","EQAR","","IND",2
