"SITECODE","SITENUM","TREAT","SPP","DBH_AV","CAN_AV","BROW_INDEX","UND","CLUMP","STEM_COUNT","QUAD","TYPE","BASAL"
"32_2",32,2,"BENE",4.3,90,0.33,"VAVI","CLUMP",3,2,"SAPLING",0.10084446
"32_2",32,2,"POTR",1.2,90,1,"VAUL","IND",1,2,"SAPLING",0.00785376
"32_2",32,2,"BENE",9.9,75,1,"VAVI","CLUMP",3,2,"SAPLING",0.53454654
"32_2",32,2,"POTR",1.1,100,1,"VAVI","IND",1,2,"SAPLING",0.00659934
"32_2",32,2,"SALIX",1.4,20,1,"VAVI","IND",1,2,"SAPLING",0.01068984
"32_2",32,2,"BENE",15.5,95,1,"VAVI","CLUMP",6,2,"SAPLING",1.3103235
"32_2",32,2,"SALIX",5.3,45,0.83,"VAVI","CLUMP",6,2,"SAPLING",0.15320286
"32_2",32,2,"SALIX",0.8,40,1,"VAVI","IND",1,2,"SAPLING",0.00349056
"32_2",32,2,"BENE",11.5,85.55556,0.44,"VAVI","CLUMP",9,2,"SAPLING",0.7212915
"32_2",32,2,"BENE",1.2,50,1,"VAUL","IND",1,2,"SAPLING",0.00785376
"32_2",32,2,"BENE",7.1,73,0.8,"VAVI","CLUMP",5,2,"SAPLING",0.27493614
"32_2",32,2,"SALIX",0.6,5,1,"VAVI","IND",1,2,"SAPLING",0.00196344
"32_2",32,2,"BENE",3.8,87.5,1,"VAVI","CLUMP",2,2,"SAPLING",0.07875576
"32_2",32,2,"SALIX",0.7,75,0,"VAVI","IND",1,2,"SAPLING",0.00267246
"32_2",32,2,"BENE",4.1,95,1,"VAVI","CLUMP",2,2,"SAPLING",0.09168174
"39_2",39,2,"BENE",2.4,100,1,"VAVI","CLUMP",2,2,"SAPLING",0.03141504
"39_2",39,2,"BENE",9.9,97.5,0.17,"VAVI","CLUMP",6,2,"SAPLING",0.53454654
"39_2",39,2,"BENE",6,96.666667,0,"VAVI","CLUMP",3,2,"SAPLING",0.196344
"39_2",39,2,"SALIX",5.5,96.66667,0,"VAVI","CLUMP",3,2,"SAPLING",0.1649835
"39_2",39,2,"BENE",7.5,92.5,0,"VAVI","CLUMP",4,2,"SAPLING",0.3067875
"39_2",39,2,"BENE",2.1,100,0,"EQAR","CLUMP",2,2,"SAPLING",0.02405214
"39_2",39,2,"SALIX",0.7,100,0,"EQAR","IND",1,2,"SAPLING",0.00267246
"39_2",39,2,"SALIX",0.2,100,0,"EQSC","IND",1,2,"SAPLING",0.00021816
"39_2",39,2,"SALIX",0.1,100,0,"EQSC","IND",1,2,"SAPLING",5.454e-05
"39_2",39,2,"SALIX",0.4,100,0,"EQAR","CLUMP",2,2,"SAPLING",0.00087264
"39_2",39,2,"BENE",0.4,5,1,"EQAR","IND",1,2,"SAPLING",0.00087264
"39_2",39,2,"BENE",0.4,95,1,"EQAR","IND",1,2,"SAPLING",0.00087264
"39_2",39,2,"SALIX",2.6,100,0,"EQAR","CLUMP",4,2,"SAPLING",0.03686904
"39_2",39,2,"BENE",2.1,98.75,0.25,"EQSC","CLUMP",4,2,"SAPLING",0.02405214
"39_2",39,2,"SALIX",1.8,100,0,"VAVI","CLUMP",3,2,"SAPLING",0.01767096
"39_2",39,2,"ALCR",25.2,82.64705882,0.47,"EQAR","CLUMP",17,2,"SAPLING",3.46350816
"39_2",39,2,"BENE",3.4,90,1,"POPA","CLUMP",2,2,"SAPLING",0.06304824
"39_2",39,2,"BENE",4.4,100,0,"POPA","CLUMP",4,2,"SAPLING",0.10558944
"39_2",39,2,"BENE",2.6,92.5,1,"POPA","CLUMP",2,2,"SAPLING",0.03686904
"39_2",39,2,"BENE",9.3,56.666667,0.5,"POPA","CLUMP",6,2,"SAPLING",0.47171646
"39_2",39,2,"BENE",7.6,93.33333,0,"POPA","CLUMP",3,2,"SAPLING",0.31502304
"39_2",39,2,"BENE",14.6,69.90909091,0.45,"POPA","CLUMP",11,2,"SAPLING",1.16257464
"39_2",39,2,"BENE",8.4,46.4,0.8,"POPA","CLUMP",5,2,"SAPLING",0.38483424
"39_2",39,2,"BENE",1.5,100,0,"POPA","IND",1,2,"SAPLING",0.0122715
"39_2",39,2,"BENE",1.4,100,0,"POPA","IND",1,2,"SAPLING",0.01068984
"39_2",39,2,"ALCR",1.3,95,1,"POPA","IND",1,2,"SAPLING",0.00921726
"56_2",56,2,"SALIX",0.5,95,0,"EQAR","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",1.3,100,1,"EQAR","IND",1,2,"SAPLING",0.00921726
"56_2",56,2,"BENE",3.1,98.33333,0.33,"VAVI","CLUMP",3,2,"SAPLING",0.05241294
"56_2",56,2,"SALIX",0.5,100,1,"VAVI","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",0.9,100,0,"LITTER","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"BENE",3.8,100,0.67,"EQAR","CLUMP",3,2,"SAPLING",0.07875576
"56_2",56,2,"SALIX",0.6,100,0,"EQAR","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",6.3,99,0.2,"EQAR","CLUMP",5,2,"SAPLING",0.21646926
"56_2",56,2,"BENE",2.3,100,0,"EQAR","CLUMP",2,2,"SAPLING",0.02885166
"56_2",56,2,"BENE",1.3,100,1,"EQAR","IND",1,2,"SAPLING",0.00921726
"56_2",56,2,"SALIX",1,80,1,"EQAR","IND",1,2,"SAPLING",0.005454
"56_2",56,2,"SALIX",0.9,90,0,"EQAR","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"BENE",3.6,100,0,"EQAR","IND",1,2,"SAPLING",0.07068384
"56_2",56,2,"SALIX",1.6,50,0,"EQAR","IND",1,2,"SAPLING",0.01396224
"56_2",56,2,"SALIX",1.3,90,0,"EQAR","IND",1,2,"SAPLING",0.00921726
"56_2",56,2,"BENE",1.1,95,1,"EQAR","IND",1,2,"SAPLING",0.00659934
"56_2",56,2,"BENE",1.1,100,0,"EQAR","IND",1,2,"SAPLING",0.00659934
"56_2",56,2,"BENE",1.3,95,0,"EQAR","IND",1,2,"SAPLING",0.00921726
"56_2",56,2,"BENE",0.6,100,0,"EQAR","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",0.4,90,0,"EQAR","IND",1,2,"SAPLING",0.00087264
"56_2",56,2,"ALCR",2.3,95,1,"EQAR","IND",1,2,"SAPLING",0.02885166
"56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"BENE",0.6,100,0,"EQAR","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",0.3,100,0,"EQAR","IND",1,2,"SAPLING",0.00049086
"56_2",56,2,"BENE",0.4,95,1,"EQAR","IND",1,2,"SAPLING",0.00087264
"56_2",56,2,"BENE",0.1,90,1,"EQAR","IND",1,2,"SAPLING",5.454e-05
"56_2",56,2,"BENE",1,100,0.33,"VAVI","CLUMP",3,2,"SAPLING",0.005454
"56_2",56,2,"SALIX",0.5,100,0,"VAVI","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",0.9,95,0,"EQAR","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",0.6,100,0,"VAVI","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",2.3,100,0.5,"EQAR","CLUMP",4,2,"SAPLING",0.02885166
"56_2",56,2,"BENE",0.6,100,0,"EQAR","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",1.1,100,0,"EQAR","IND",1,2,"SAPLING",0.00659934
"56_2",56,2,"BENE",3.3,95,0,"LITTER","CLUMP",3,2,"SAPLING",0.05939406
"56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",1,100,0,"EQAR","IND",1,2,"SAPLING",0.005454
"56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"ALCR",1.7,100,1,"EQAR","IND",1,2,"SAPLING",0.01576206
"56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"BENE",0.9,10,0,"EQAR","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2,"SAPLING",0.00267246
"56_2",56,2,"BENE",0.7,100,1,"EQAR","IND",1,2,"SAPLING",0.00267246
"56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2,"SAPLING",0.00267246
"56_2",56,2,"BENE",0.6,95,0,"EQAR","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",0.1,100,0,"EQAR","IND",1,2,"SAPLING",5.454e-05
"56_2",56,2,"BENE",0.4,100,0,"EQAR","IND",1,2,"SAPLING",0.00087264
"56_2",56,2,"BENE",0.1,100,0,"EQAR","IND",1,2,"SAPLING",5.454e-05
"56_2",56,2,"BENE",1.8,100,1,"EQAR","IND",1,2,"SAPLING",0.01767096
"56_2",56,2,"BENE",0.8,1,0,"EQAR","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",1.2,100,0,"EQAR","IND",1,2,"SAPLING",0.00785376
"56_2",56,2,"BENE",0.4,100,0,"EQAR","IND",1,2,"SAPLING",0.00087264
"56_2",56,2,"BENE",0.5,100,0,"EQAR","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"BENE",0.7,100,1,"EQAR","IND",1,2,"SAPLING",0.00267246
"56_2",56,2,"BENE",0.1,100,0,"EQAR","IND",1,2,"SAPLING",5.454e-05
"56_2",56,2,"BENE",0.4,100,0,"EQAR","IND",1,2,"SAPLING",0.00087264
"56_2",56,2,"BENE",1.5,100,1,"EQAR","IND",1,2,"SAPLING",0.0122715
"56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2,"SAPLING",0.00267246
"56_2",56,2,"BENE",0.4,100,0,"EQAR","IND",1,2,"SAPLING",0.00087264
"56_2",56,2,"BENE",0.3,100,0,"EQAR","IND",1,2,"SAPLING",0.00049086
"56_2",56,2,"BENE",1.5,100,0,"EQAR","IND",1,2,"SAPLING",0.0122715
"56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2,"SAPLING",0.00267246
"56_2",56,2,"BENE",0.5,100,0,"LITTER","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",1.2,100,0,"EQSY","IND",1,2,"SAPLING",0.00785376
"56_2",56,2,"BENE",0.5,100,0,"EQAR","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",0.6,30,1,"EQAR","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",1.3,100,0,"EQAR","IND",1,2,"SAPLING",0.00921726
"56_2",56,2,"BENE",1.4,100,1,"EQAR","IND",1,2,"SAPLING",0.01068984
"56_2",56,2,"BENE",1,100,0,"EQSY","IND",1,2,"SAPLING",0.005454
"56_2",56,2,"BENE",0.5,100,0,"EQSY","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",0.6,100,0,"EQAR","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",1.3,100,0,"EQAR","IND",1,2,"SAPLING",0.00921726
"56_2",56,2,"SALIX",6,100,0.17,"EQAR","CLUMP",6,2,"SAPLING",0.196344
"56_2",56,2,"BENE",1.4,100,0,"EQAR","IND",1,2,"SAPLING",0.01068984
"56_2",56,2,"SALIX",1.5,100,0,"MEPA","CLUMP",2,2,"SAPLING",0.0122715
"56_2",56,2,"BENE",1.1,100,0,"MEPA","IND",1,2,"SAPLING",0.00659934
"56_2",56,2,"BENE",1.1,100,0,"EQAR","IND",1,2,"SAPLING",0.00659934
"56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2,"SAPLING",0.00267246
"56_2",56,2,"BENE",0.8,100,0,"WHFL?","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",0.5,100,1,"EQAR","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",0.5,95,1,"EQAR","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2,"SAPLING",0.00267246
"56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",0.8,60,1,"LITTER","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",0.8,5,1,"EQSY","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",1.2,100,0,"MEPA","IND",1,2,"SAPLING",0.00785376
"56_2",56,2,"BENE",1.3,95,0.5,"EQAR","CLUMP",2,2,"SAPLING",0.00921726
"56_2",56,2,"BENE",0.8,100,1,"EQAR","IND",1,2,"SAPLING",0.00349056
"56_2",56,2,"BENE",1.7,100,0,"EQAR","CLUMP",2,2,"SAPLING",0.01576206
"56_2",56,2,"BENE",2.7,100,0.5,"CHAN","CLUMP",2,2,"SAPLING",0.03975966
"56_2",56,2,"BENE",1.6,100,0,"EQAR","IND",1,2,"SAPLING",0.01396224
"56_2",56,2,"ALCR",2.8,90,0.33,"EQAR","CLUMP",3,2,"SAPLING",0.04275936
"56_2",56,2,"BENE",1.6,100,0,"EQAR","IND",1,2,"SAPLING",0.01396224
"56_2",56,2,"ALCR",0.9,80,0,"EQAR","IND",1,2,"SAPLING",0.00441774
"56_2",56,2,"ALCR",0.6,95,0,"EQAR","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",0.5,100,0,"EQAR","IND",1,2,"SAPLING",0.0013635
"56_2",56,2,"BENE",1.1,90,0,"EQAR","IND",1,2,"SAPLING",0.00659934
"56_2",56,2,"ALCR",0.6,100,0,"MEPA","IND",1,2,"SAPLING",0.00196344
"56_2",56,2,"BENE",8.8,100,0,"LEGR","CLUMP",4,2,"SAPLING",0.42235776
"56_2",56,2,"BENE",3.4,100,0,"LEGR","CLUMP",2,2,"SAPLING",0.06304824
"56_2",56,2,"SALIX",5.6,100,0,"LEGR","CLUMP",3,2,"SAPLING",0.17103744
"56_2",56,2,"BENE",1.1,100,0,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1.1,95,1,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1,5,1,"EQAR","IND",1,2,"SAPLING",0.005454
"57_2",57,2,"BENE",1.1,100,1,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1.2,10,1,"EQAR","IND",1,2,"SAPLING",0.00785376
"57_2",57,2,"BENE",0.7,100,1,"EQAR","IND",1,2,"SAPLING",0.00267246
"57_2",57,2,"BENE",1,100,0,"EQAR","IND",1,2,"SAPLING",0.005454
"57_2",57,2,"BENE",1.4,100,0,"EQAR","IND",1,2,"SAPLING",0.01068984
"57_2",57,2,"BENE",1.4,5,1,"LITTER","IND",1,2,"SAPLING",0.01068984
"57_2",57,2,"BENE",1.7,100,1,"EQAR","IND",1,2,"SAPLING",0.01576206
"57_2",57,2,"BENE",2.3,100,1,"EQAR","IND",1,2,"SAPLING",0.02885166
"57_2",57,2,"BENE",1.9,95,0,"LITTER","IND",1,2,"SAPLING",0.01968894
"57_2",57,2,"BENE",0.9,100,1,"CHAN","IND",1,2,"SAPLING",0.00441774
"57_2",57,2,"BENE",1.1,95,0,"LITTER","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1,5,1,"CHAN","IND",1,2,"SAPLING",0.005454
"57_2",57,2,"BENE",0.9,1,1,"EQAR","IND",1,2,"SAPLING",0.00441774
"57_2",57,2,"BENE",1.1,100,1,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1.1,100,0,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1.7,100,0,"EQAR","IND",1,2,"SAPLING",0.01576206
"57_2",57,2,"BENE",1.7,100,0,"EQAR","IND",1,2,"SAPLING",0.01576206
"57_2",57,2,"BENE",1.5,100,0,"EQAR","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",1.4,100,0,"EQAR","IND",1,2,"SAPLING",0.01068984
"57_2",57,2,"BENE",1.6,100,0,"EQAR","IND",1,2,"SAPLING",0.01396224
"57_2",57,2,"BENE",1.7,100,0,"EQAR","IND",1,2,"SAPLING",0.01576206
"57_2",57,2,"BENE",2.1,100,0,"LITTER","IND",1,2,"SAPLING",0.02405214
"57_2",57,2,"BENE",1.5,100,0,"EQAR","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",1.6,100,0,"EQAR","IND",1,2,"SAPLING",0.01396224
"57_2",57,2,"BENE",1.1,100,0,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1.2,100,0,"EQAR","IND",1,2,"SAPLING",0.00785376
"57_2",57,2,"SALIX",1.2,100,0,"EQAR","IND",1,2,"SAPLING",0.00785376
"57_2",57,2,"BENE",1.6,95,0,"CHAN","IND",1,2,"SAPLING",0.01396224
"57_2",57,2,"BENE",1.9,90,0,"LITTER","IND",1,2,"SAPLING",0.01968894
"57_2",57,2,"ALCR",8.7,63.33333,1,"EQAR","CLUMP",3,2,"SAPLING",0.41281326
"57_2",57,2,"BENE",1.2,90,1,"POPR","IND",1,2,"SAPLING",0.00785376
"57_2",57,2,"BENE",1.3,100,0,"POPR","IND",1,2,"SAPLING",0.00921726
"57_2",57,2,"BENE",1.9,100,0,"EQAR","IND",1,2,"SAPLING",0.01968894
"57_2",57,2,"BENE",1.1,100,0,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1.1,100,0,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1.2,100,0,"EQAR","IND",1,2,"SAPLING",0.00785376
"57_2",57,2,"BENE",1.5,100,0,"LITTER","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",1.4,100,0,"EQAR","IND",1,2,"SAPLING",0.01068984
"57_2",57,2,"BENE",1.1,80,1,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1.5,90,1,"LITTER","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"ALCR",8.5,100,0.33,"CHAN","CLUMP",3,2,"SAPLING",0.3940515
"57_2",57,2,"SALIX",1.2,80,1,"LEGR","IND",1,2,"SAPLING",0.00785376
"57_2",57,2,"BENE",1,95,1,"LITTER","IND",1,2,"SAPLING",0.005454
"57_2",57,2,"SALIX",1.4,60,1,"LEGR","IND",1,2,"SAPLING",0.01068984
"57_2",57,2,"BENE",1.9,95,1,"EQAR","IND",1,2,"SAPLING",0.01968894
"57_2",57,2,"BENE",2.2,100,0,"EQAR","IND",1,2,"SAPLING",0.02639736
"57_2",57,2,"BENE",2.1,95,0,"EQAR","IND",1,2,"SAPLING",0.02405214
"57_2",57,2,"BENE",1.5,100,0,"EQSY","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",1.7,100,0,"EQSY","IND",1,2,"SAPLING",0.01576206
"57_2",57,2,"BENE",2.9,100,1,"EQSY","IND",1,2,"SAPLING",0.04586814
"57_2",57,2,"BENE",2.7,100,0,"EQSY","IND",1,2,"SAPLING",0.03975966
"57_2",57,2,"BENE",2.2,100,0,"EQSY","IND",1,2,"SAPLING",0.02639736
"57_2",57,2,"BENE",1.1,70,1,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",2.4,100,1,"EQAR","IND",1,2,"SAPLING",0.03141504
"57_2",57,2,"BENE",2.5,100,0,"EQAR","IND",1,2,"SAPLING",0.0340875
"57_2",57,2,"BENE",2.6,100,1,"EQAR","IND",1,2,"SAPLING",0.03686904
"57_2",57,2,"BENE",2.4,40,1,"EQAR","IND",1,2,"SAPLING",0.03141504
"57_2",57,2,"BENE",3.1,100,0,"EQAR","IND",1,2,"SAPLING",0.05241294
"57_2",57,2,"BENE",1.8,100,0,"EQAR","IND",1,2,"SAPLING",0.01767096
"57_2",57,2,"BENE",1,90,0,"EQSY","IND",1,2,"SAPLING",0.005454
"57_2",57,2,"BENE",2.3,100,1,"EQAR","IND",1,2,"SAPLING",0.02885166
"57_2",57,2,"BENE",2.4,60,1,"EQAR","IND",1,2,"SAPLING",0.03141504
"57_2",57,2,"BENE",1.9,90,0,"EQAR","IND",1,2,"SAPLING",0.01968894
"57_2",57,2,"BENE",1.9,20,0,"EQAR","IND",1,2,"SAPLING",0.01968894
"57_2",57,2,"BENE",2.1,100,0,"LITTER","IND",1,2,"SAPLING",0.02405214
"57_2",57,2,"BENE",2.5,100,1,"EQAR","IND",1,2,"SAPLING",0.0340875
"57_2",57,2,"BENE",2.3,100,0,"LITTER","IND",1,2,"SAPLING",0.02885166
"57_2",57,2,"BENE",1.3,95,0,"LITTER","IND",1,2,"SAPLING",0.00921726
"57_2",57,2,"BENE",1.7,100,0,"LITTER","IND",1,2,"SAPLING",0.01576206
"57_2",57,2,"BENE",1.3,100,0,"EQAR","IND",1,2,"SAPLING",0.00921726
"57_2",57,2,"BENE",1.1,50,1,"EQAR","IND",1,2,"SAPLING",0.00659934
"57_2",57,2,"BENE",1.6,95,1,"CHAN","IND",1,2,"SAPLING",0.01396224
"57_2",57,2,"BENE",1.5,95,1,"EQAR","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",1.4,100,1,"EQAR","IND",1,2,"SAPLING",0.01068984
"57_2",57,2,"SALIX",1.5,100,1,"EQAR","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",3.6,100,0,"EQAR","IND",1,2,"SAPLING",0.07068384
"57_2",57,2,"SALIX",1,5,1,"EQAR","IND",1,2,"SAPLING",0.005454
"57_2",57,2,"BENE",3,100,0,"EQAR","IND",1,2,"SAPLING",0.049086
"57_2",57,2,"BENE",1,90,1,"EQAR","IND",1,2,"SAPLING",0.005454
"57_2",57,2,"BENE",1.7,95,0,"EQAR","IND",1,2,"SAPLING",0.01576206
"57_2",57,2,"BENE",1.5,100,0,"LITTER","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",2.7,100,0,"LITTER","IND",1,2,"SAPLING",0.03975966
"57_2",57,2,"SALIX",2.4,10,1,"EQAR","CLUMP",2,2,"SAPLING",0.03141504
"57_2",57,2,"BENE",2.5,100,0,"EQAR","IND",1,2,"SAPLING",0.0340875
"57_2",57,2,"BENE",6.9,95,0.5,"EQAR","CLUMP",2,2,"SAPLING",0.25966494
"57_2",57,2,"BENE",1.5,100,1,"EQAR","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",1.5,100,1,"EQAR","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",1.5,95,0,"LITTER","IND",1,2,"SAPLING",0.0122715
"57_2",57,2,"BENE",1.3,100,0,"CHAN","IND",1,2,"SAPLING",0.00921726
"57_2",57,2,"BENE",1.9,90,1,"CHAN","IND",1,2,"SAPLING",0.01968894
"57_2",57,2,"BENE",2.4,95,1,"EQAR","IND",1,2,"SAPLING",0.03141504
"57_2",57,2,"BENE",10.2,100,0.33,"EQAR","CLUMP",3,2,"SAPLING",0.56743416
"57_2",57,2,"BENE",6.1,100,0.33,"EQAR","CLUMP",3,2,"SAPLING",0.20294334
"57_2",57,2,"BENE",1.9,100,0,"LITTER","IND",1,2,"SAPLING",0.01968894
"57_2",57,2,"SALIX",1.5,5,0,"CHAN","IND",1,2,"SAPLING",0.0122715
