"SITECODE","TYPE","SPP","COUNT","BASAL","SITE","DIVISON"
"25_3","TREE","ARCT",0,0,"STEESE","d"
"25_3","TREE","BENE",1,0.03975966,"STEESE","d"
"25_3","TREE","PIME",0,0,"STEESE","c"
"25_3","TREE","POBA",0,0,"STEESE","d"
"25_3","TREE","POTR",9,0.57828762,"STEESE","d"
"25_3","TREE","SALIX",6,0.33438474,"STEESE","d"
"26_2","SAPLING","ALCR",7,0.12255138,"STEESE","d"
"26_2","SAPLING","ARCT",0,0,"STEESE","d"
"26_2","SAPLING","BENE",21,0.07477434,"STEESE","d"
"26_2","SAPLING","PIME",1,0.00349056,"STEESE","c"
"26_2","SAPLING","POBA",0,0,"STEESE","d"
"26_2","SAPLING","POTR",1,5.454e-05,"STEESE","d"
"26_2","SAPLING","SALIX",4,0.0062721,"STEESE","d"
"26_2","TREE","ALCR",2,0.27444528,"STEESE","d"
"26_2","TREE","ARCT",0,0,"STEESE","d"
"26_2","TREE","BENE",0,0,"STEESE","d"
"26_2","TREE","PIME",0,0,"STEESE","c"
"26_2","TREE","POBA",0,0,"STEESE","d"
"26_2","TREE","POTR",0,0,"STEESE","d"
"26_2","TREE","SALIX",0,0,"STEESE","d"
"27_2","SAPLING","ALCR",0,0,"STEESE","d"
"27_2","SAPLING","ARCT",0,0,"STEESE","d"
"27_2","SAPLING","BENE",12,0.02061612,"STEESE","d"
"27_2","SAPLING","PIME",0,0,"STEESE","c"
"27_2","SAPLING","POBA",0,0,"STEESE","d"
"27_2","SAPLING","POTR",0,0,"STEESE","d"
"27_2","SAPLING","SALIX",2,0.0024543,"STEESE","d"
"27_2","TREE","ALCR",0,0,"STEESE","d"
"27_2","TREE","ARCT",0,0,"STEESE","d"
"27_2","TREE","BENE",0,0,"STEESE","d"
"27_2","TREE","PIME",0,0,"STEESE","c"
"27_2","TREE","POBA",0,0,"STEESE","d"
"27_2","TREE","POTR",0,0,"STEESE","d"
"27_2","TREE","SALIX",0,0,"STEESE","d"
"28_1","SAPLING","ALCR",0,0,"STEESE","d"
"28_1","SAPLING","ARCT",0,0,"STEESE","d"
"28_1","SAPLING","BENE",12,0.01625292,"STEESE","d"
"28_1","SAPLING","PIME",0,0,"STEESE","c"
"28_1","SAPLING","POBA",0,0,"STEESE","d"
"28_1","SAPLING","POTR",0,0,"STEESE","d"
"28_1","SAPLING","SALIX",4,0.00447228,"STEESE","d"
"28_1","TREE","ALCR",0,0,"STEESE","d"
"28_1","TREE","ARCT",0,0,"STEESE","d"
"28_1","TREE","BENE",0,0,"STEESE","d"
"28_1","TREE","PIME",0,0,"STEESE","c"
"28_1","TREE","POBA",0,0,"STEESE","d"
"28_1","TREE","POTR",0,0,"STEESE","d"
"28_1","TREE","SALIX",0,0,"STEESE","d"
"29_1","SAPLING","ALCR",0,0,"STEESE","d"
"29_1","SAPLING","ARCT",0,0,"STEESE","d"
"29_1","SAPLING","BENE",24,1.32543108,"STEESE","d"
"29_1","SAPLING","PIME",0,0,"STEESE","c"
"29_1","SAPLING","POBA",0,0,"STEESE","d"
"29_1","SAPLING","POTR",0,0,"STEESE","d"
"29_1","SAPLING","SALIX",9,0.00692658,"STEESE","d"
"29_1","TREE","ALCR",0,0,"STEESE","d"
"29_1","TREE","ARCT",0,0,"STEESE","d"
"29_1","TREE","BENE",3,1.27029114,"STEESE","d"
"29_1","TREE","PIME",0,0,"STEESE","c"
"29_1","TREE","POBA",0,0,"STEESE","d"
"29_1","TREE","POTR",0,0,"STEESE","d"
"29_1","TREE","SALIX",0,0,"STEESE","d"
"3_2","SAPLING","ALCR",0,0,"STEESE","d"
"3_2","SAPLING","ARCT",3,0.02110698,"STEESE","d"
"3_2","SAPLING","BENE",8,0.0177255,"STEESE","d"
"3_2","SAPLING","PIME",0,0,"STEESE","c"
"3_2","SAPLING","POBA",0,0,"STEESE","d"
"3_2","SAPLING","POTR",3,0.00114534,"STEESE","d"
"3_2","SAPLING","SALIX",0,0,"STEESE","d"
"3_2","TREE","ALCR",0,0,"STEESE","d"
"3_2","TREE","ARCT",0,0,"STEESE","d"
"3_2","TREE","BENE",1,0.05584896,"STEESE","d"
"3_2","TREE","PIME",0,0,"STEESE","c"
"3_2","TREE","POBA",0,0,"STEESE","d"
"3_2","TREE","POTR",0,0,"STEESE","d"
"3_2","TREE","SALIX",0,0,"STEESE","d"
"31_0","SAPLING","ALCR",0,0,"STEESE","d"
"31_0","SAPLING","ARCT",0,0,"STEESE","d"
"31_0","SAPLING","BENE",0,0,"STEESE","d"
"31_0","SAPLING","PIME",16,0.218750595764062,"STEESE","c"
"31_0","SAPLING","POBA",0,0,"STEESE","d"
"31_0","SAPLING","POTR",0,0,"STEESE","d"
"31_0","SAPLING","SALIX",0,0,"STEESE","d"
"31_0","TREE","ALCR",0,0,"STEESE","d"
"31_0","TREE","ARCT",0,0,"STEESE","d"
"31_0","TREE","BENE",0,0,"STEESE","d"
"31_0","TREE","PIME",38,7.8828904211836,"STEESE","c"
"31_0","TREE","POBA",0,0,"STEESE","d"
"31_0","TREE","POTR",0,0,"STEESE","d"
"31_0","TREE","SALIX",0,0,"STEESE","d"
"33_1","SAPLING","ALCR",2,0.14136768,"STEESE","d"
"33_1","SAPLING","ARCT",0,0,"STEESE","d"
"33_1","SAPLING","BENE",0,0,"STEESE","d"
"33_1","SAPLING","PIME",10,2.42659368,"STEESE","c"
"33_1","SAPLING","POBA",0,0,"STEESE","d"
"33_1","SAPLING","POTR",0,0,"STEESE","d"
"33_1","SAPLING","SALIX",4,0.0616302,"STEESE","d"
"33_1","TREE","ALCR",2,0.14136768,"STEESE","d"
"33_1","TREE","ARCT",0,0,"STEESE","d"
"33_1","TREE","BENE",0,0,"STEESE","d"
"33_1","TREE","PIME",8,2.3986692,"STEESE","c"
"33_1","TREE","POBA",0,0,"STEESE","d"
"33_1","TREE","POTR",0,0,"STEESE","d"
"33_1","TREE","SALIX",0,0,"STEESE","d"
"34_2","SAPLING","ALCR",0,0,"STEESE","d"
"34_2","SAPLING","ARCT",0,0,"STEESE","d"
"34_2","SAPLING","BENE",15,0.16258374,"STEESE","d"
"34_2","SAPLING","PIME",0,0,"STEESE","c"
"34_2","SAPLING","POBA",0,0,"STEESE","d"
"34_2","SAPLING","POTR",3,0.00452682,"STEESE","d"
"34_2","SAPLING","SALIX",118,0.41717646,"STEESE","d"
"34_2","TREE","ALCR",0,0,"STEESE","d"
"34_2","TREE","ARCT",0,0,"STEESE","d"
"34_2","TREE","BENE",1,0.13635,"STEESE","d"
"34_2","TREE","PIME",0,0,"STEESE","c"
"34_2","TREE","POBA",0,0,"STEESE","d"
"34_2","TREE","POTR",0,0,"STEESE","d"
"34_2","TREE","SALIX",1,0.03975966,"STEESE","d"
"35_3","SAPLING","ALCR",1,0.01767096,"STEESE","d"
"35_3","SAPLING","ARCT",4,0.40457772,"STEESE","d"
"35_3","SAPLING","BENE",13,3.98671038,"STEESE","d"
"35_3","SAPLING","PIME",1,0.01068984,"STEESE","c"
"35_3","SAPLING","POBA",1,0.02885166,"STEESE","d"
"35_3","SAPLING","POTR",7,0.0338148,"STEESE","d"
"35_3","SAPLING","SALIX",13,4.5134577,"STEESE","d"
"35_3","TREE","ALCR",0,0,"STEESE","d"
"35_3","TREE","ARCT",4,1.70830188,"STEESE","d"
"35_3","TREE","BENE",3,3.85826868,"STEESE","d"
"35_3","TREE","PIME",0,0,"STEESE","c"
"35_3","TREE","POBA",1,0.04275936,"STEESE","d"
"35_3","TREE","POTR",0,0,"STEESE","d"
"35_3","TREE","SALIX",9,4.80459222,"STEESE","d"
"36_3","SAPLING","ALCR",0,0,"STEESE","d"
"36_3","SAPLING","ARCT",0,0,"STEESE","d"
"36_3","SAPLING","BENE",0,0,"STEESE","d"
"36_3","SAPLING","PIME",0,0,"STEESE","c"
"36_3","SAPLING","POBA",0,0,"STEESE","d"
"36_3","SAPLING","POTR",0,0,"STEESE","d"
"36_3","SAPLING","SALIX",7,0.12784176,"STEESE","d"
"36_3","TREE","ALCR",0,0,"STEESE","d"
"36_3","TREE","ARCT",0,0,"STEESE","d"
"36_3","TREE","BENE",0,0,"STEESE","d"
"36_3","TREE","PIME",0,0,"STEESE","c"
"36_3","TREE","POBA",0,0,"STEESE","d"
"36_3","TREE","POTR",0,0,"STEESE","d"
"36_3","TREE","SALIX",1,0.0668115,"STEESE","d"
"4_2","SAPLING","ALCR",0,0,"STEESE","d"
"4_2","SAPLING","ARCT",0,0,"STEESE","d"
"4_2","SAPLING","BENE",8,0.02137968,"STEESE","d"
"4_2","SAPLING","PIME",0,0,"STEESE","c"
"4_2","SAPLING","POBA",0,0,"STEESE","d"
"4_2","SAPLING","POTR",0,0,"STEESE","d"
"4_2","SAPLING","SALIX",0,0,"STEESE","d"
"4_2","TREE","ALCR",0,0,"STEESE","d"
"4_2","TREE","ARCT",0,0,"STEESE","d"
"4_2","TREE","BENE",0,0,"STEESE","d"
"4_2","TREE","PIME",0,0,"STEESE","c"
"4_2","TREE","POBA",0,0,"STEESE","d"
"4_2","TREE","POTR",0,0,"STEESE","d"
"4_2","TREE","SALIX",0,0,"STEESE","d"
"5_1","SAPLING","ALCR",2,0.44510094,"STEESE","d"
"5_1","SAPLING","ARCT",1,0.04275936,"STEESE","d"
"5_1","SAPLING","BENE",8,0.11900628,"STEESE","d"
"5_1","SAPLING","PIME",0,0,"STEESE","c"
"5_1","SAPLING","POBA",0,0,"STEESE","d"
"5_1","SAPLING","POTR",0,0,"STEESE","d"
"5_1","SAPLING","SALIX",0,0,"STEESE","d"
"5_1","TREE","ALCR",2,0.44510094,"STEESE","d"
"5_1","TREE","ARCT",1,0.04275936,"STEESE","d"
"5_1","TREE","BENE",1,0.06304824,"STEESE","d"
"5_1","TREE","PIME",0,0,"STEESE","c"
"5_1","TREE","POBA",0,0,"STEESE","d"
"5_1","TREE","POTR",0,0,"STEESE","d"
"5_1","TREE","SALIX",0,0,"STEESE","d"
"6_0","SAPLING","ALCR",0,0,"STEESE","d"
"6_0","SAPLING","ARCT",0,0,"STEESE","d"
"6_0","SAPLING","BENE",0,0,"STEESE","d"
"6_0","SAPLING","PIME",16,0.626012936479687,"STEESE","c"
"6_0","SAPLING","POBA",0,0,"STEESE","d"
"6_0","SAPLING","POTR",0,0,"STEESE","d"
"6_0","SAPLING","SALIX",1,0.145180846230469,"STEESE","d"
"6_0","TREE","ALCR",0,0,"STEESE","d"
"6_0","TREE","ARCT",0,0,"STEESE","d"
"6_0","TREE","BENE",0,0,"STEESE","d"
"6_0","TREE","PIME",59,11.6062803176836,"STEESE","c"
"6_0","TREE","POBA",0,0,"STEESE","d"
"6_0","TREE","POTR",0,0,"STEESE","d"
"6_0","TREE","SALIX",1,0.145180846230469,"STEESE","d"
"9_0","SAPLING","ALCR",0,0,"STEESE","d"
"9_0","SAPLING","ARCT",0,0,"STEESE","d"
"9_0","SAPLING","BENE",0,0,"STEESE","d"
"9_0","SAPLING","PIME",24,3.17711065843828,"STEESE","c"
"9_0","SAPLING","POBA",0,0,"STEESE","d"
"9_0","SAPLING","POTR",0,0,"STEESE","d"
"9_0","SAPLING","SALIX",0,0,"STEESE","d"
"9_0","TREE","ALCR",0,0,"STEESE","d"
"9_0","TREE","ARCT",0,0,"STEESE","d"
"9_0","TREE","BENE",0,0,"STEESE","d"
"9_0","TREE","PIME",81,14.984293047968,"STEESE","c"
"9_0","TREE","POBA",0,0,"STEESE","d"
"9_0","TREE","POTR",0,0,"STEESE","d"
"9_0","TREE","SALIX",1,0.0470420304117187,"STEESE","d"
