"SITE","SITECODE","TREAT","TYPE","DIVISON","SPP","COUNT_SITE","BASAL_SITE","COUNT_HA","BASAL_HA","LAT","LONG","SLOPE","ASPECT_RAW","ELEVATION","SOLAR","EXP_MIN","OL_AV","TOTAL_COUNT_SITE","DECID_COUNT_SITE","CONIF_COUNT_SITE","DECID_PROP_SITE","CONIF_PROP_SITE","DECID_COUNT_HA","CONIF_COUNT_HA","DECID_BASAL_HA","CONIF_BASAL_HA"
"DALTON","44_0",0,"SAPLING","d","ALCR",0,0,0,0,65.71369,-149.23332,5.85179,151.4309998,252.1470032,599354.3768,0,18.8,206,14,192,0.0679611650485437,0.932038834951456,350,4800,75.998763,1078.978455
"DALTON","44_0",0,"SAPLING","d","BENE",2,1.34397468,50,33.599367,65.71369,-149.23332,5.85179,151.4309998,252.1470032,599354.3768,0,18.8,206,14,192,0.0679611650485437,0.932038834951456,350,4800,75.998763,1078.978455
"DALTON","44_0",0,"SAPLING","c","PIME",192,43.1591382,4800,1078.978455,65.71369,-149.23332,5.85179,151.4309998,252.1470032,599354.3768,0,18.8,206,14,192,0.0679611650485437,0.932038834951456,350,4800,75.998763,1078.978455
"DALTON","44_0",0,"SAPLING","d","POTR",0,0,0,0,65.71369,-149.23332,5.85179,151.4309998,252.1470032,599354.3768,0,18.8,206,14,192,0.0679611650485437,0.932038834951456,350,4800,75.998763,1078.978455
"DALTON","44_0",0,"SAPLING","d","SALIX",12,1.69597584,300,42.399396,65.71369,-149.23332,5.85179,151.4309998,252.1470032,599354.3768,0,18.8,206,14,192,0.0679611650485437,0.932038834951456,350,4800,75.998763,1078.978455
"DALTON","58_0",0,"SAPLING","d","ALCR",0,0,0,0,65.71309,-149.2278,4.3920202,262.2200012,262.8670044,601044.1029,0,17,21,3,18,0.142857142857143,0.857142857142857,75,450,68.9071995,445.80996
"DALTON","58_0",0,"SAPLING","d","BENE",2,2.64088134,50,66.0220335,65.71309,-149.2278,4.3920202,262.2200012,262.8670044,601044.1029,0,17,21,3,18,0.142857142857143,0.857142857142857,75,450,68.9071995,445.80996
"DALTON","58_0",0,"SAPLING","c","PIME",18,17.8323984,450,445.80996,65.71309,-149.2278,4.3920202,262.2200012,262.8670044,601044.1029,0,17,21,3,18,0.142857142857143,0.857142857142857,75,450,68.9071995,445.80996
"DALTON","58_0",0,"SAPLING","d","POTR",0,0,0,0,65.71309,-149.2278,4.3920202,262.2200012,262.8670044,601044.1029,0,17,21,3,18,0.142857142857143,0.857142857142857,75,450,68.9071995,445.80996
"DALTON","58_0",0,"SAPLING","d","SALIX",1,0.11540664,25,2.885166,65.71309,-149.2278,4.3920202,262.2200012,262.8670044,601044.1029,0,17,21,3,18,0.142857142857143,0.857142857142857,75,450,68.9071995,445.80996
"DALTON","12_1",1,"SAPLING","d","ALCR",0,0,0,0,65.7068,-149.18559,6.7337098,333.6419983,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
"DALTON","12_1",1,"SAPLING","d","BENE",20,0.0392688,500,0.98172,65.7068,-149.18559,6.7337098,333.6419983,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
"DALTON","12_1",1,"SAPLING","c","PIME",0,0,0,0,65.7068,-149.18559,6.7337098,333.6419983,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
"DALTON","12_1",1,"SAPLING","d","POTR",0,0,0,0,65.7068,-149.18559,6.7337098,333.6419983,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
"DALTON","12_1",1,"SAPLING","d","SALIX",20,0.0098172,500,0.24543,65.7068,-149.18559,6.7337098,333.6419983,261.8880005,599446.6717,12.5,4.5,40,40,0,1,0,1000,0,1.22715,0
"DALTON","41_1",1,"SAPLING","d","ALCR",0,0,0,0,65.70615,-149.22386,13.2546997,11.4744997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
"DALTON","41_1",1,"SAPLING","d","BENE",8,0.0850824,200,2.12706,65.70615,-149.22386,13.2546997,11.4744997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
"DALTON","41_1",1,"SAPLING","c","PIME",0,0,0,0,65.70615,-149.22386,13.2546997,11.4744997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
"DALTON","41_1",1,"SAPLING","d","POTR",0,0,0,0,65.70615,-149.22386,13.2546997,11.4744997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
"DALTON","41_1",1,"SAPLING","d","SALIX",5,0.1382589,125,3.4564725,65.70615,-149.22386,13.2546997,11.4744997,248.1640015,594485.5498,22.5,8.2,13,13,0,1,0,325,0,5.5835325,0
"DALTON","42_1",1,"SAPLING","d","ALCR",1,0.36672696,25,9.168174,65.69112,-149.11751,7.1159101,56.4902,327.4930115,606715.4025,10,11.4,9,8,1,0.888888888888889,0.111111111111111,200,25,10.4621355,0.049086
"DALTON","42_1",1,"SAPLING","d","BENE",7,0.05175846,175,1.2939615,65.69112,-149.11751,7.1159101,56.4902,327.4930115,606715.4025,10,11.4,9,8,1,0.888888888888889,0.111111111111111,200,25,10.4621355,0.049086
"DALTON","42_1",1,"SAPLING","c","PIME",1,0.00196344,25,0.049086,65.69112,-149.11751,7.1159101,56.4902,327.4930115,606715.4025,10,11.4,9,8,1,0.888888888888889,0.111111111111111,200,25,10.4621355,0.049086
"DALTON","42_1",1,"SAPLING","d","POTR",0,0,0,0,65.69112,-149.11751,7.1159101,56.4902,327.4930115,606715.4025,10,11.4,9,8,1,0.888888888888889,0.111111111111111,200,25,10.4621355,0.049086
"DALTON","42_1",1,"SAPLING","d","SALIX",0,0,0,0,65.69112,-149.11751,7.1159101,56.4902,327.4930115,606715.4025,10,11.4,9,8,1,0.888888888888889,0.111111111111111,200,25,10.4621355,0.049086
"DALTON","48_1",1,"SAPLING","d","ALCR",0,0,0,0,65.70551,-149.22821,3.33901,144.6759949,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739130435,0.0434782608695652,550,25,146.7630495,0.0668115
"DALTON","48_1",1,"SAPLING","d","BENE",13,5.16662874,325,129.1657185,65.70551,-149.22821,3.33901,144.6759949,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739130435,0.0434782608695652,550,25,146.7630495,0.0668115
"DALTON","48_1",1,"SAPLING","c","PIME",1,0.00267246,25,0.0668115,65.70551,-149.22821,3.33901,144.6759949,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739130435,0.0434782608695652,550,25,146.7630495,0.0668115
"DALTON","48_1",1,"SAPLING","d","POTR",1,0.00049086,25,0.0122715,65.70551,-149.22821,3.33901,144.6759949,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739130435,0.0434782608695652,550,25,146.7630495,0.0668115
"DALTON","48_1",1,"SAPLING","d","SALIX",8,0.70340238,200,17.5850595,65.70551,-149.22821,3.33901,144.6759949,257.7170105,600634.2123,10,2.8,23,22,1,0.956521739130435,0.0434782608695652,550,25,146.7630495,0.0668115
"DALTON","50_1",1,"SAPLING","d","ALCR",0,0,0,0,65.70692,-149.18695,5.6178198,329.7919922,257.9140015,599456.8481,0,4,20,20,0,1,0,500,0,0.10908,0
"DALTON","50_1",1,"SAPLING","d","BENE",0,0,0,0,65.70692,-149.18695,5.6178198,329.7919922,257.9140015,599456.8481,0,4,20,20,0,1,0,500,0,0.10908,0
"DALTON","50_1",1,"SAPLING","c","PIME",0,0,0,0,65.70692,-149.18695,5.6178198,329.7919922,257.9140015,599456.8481,0,4,20,20,0,1,0,500,0,0.10908,0
"DALTON","50_1",1,"SAPLING","d","POTR",0,0,0,0,65.70692,-149.18695,5.6178198,329.7919922,257.9140015,599456.8481,0,4,20,20,0,1,0,500,0,0.10908,0
"DALTON","50_1",1,"SAPLING","d","SALIX",20,0.0043632,500,0.10908,65.70692,-149.18695,5.6178198,329.7919922,257.9140015,599456.8481,0,4,20,20,0,1,0,500,0,0.10908,0
"DALTON","52_1",1,"SAPLING","d","ALCR",1,0.28273536,25,7.068384,65.69073,-149.1245,5.24822,311.7770081,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,7.0806555,0
"DALTON","52_1",1,"SAPLING","d","BENE",0,0,0,0,65.69073,-149.1245,5.24822,311.7770081,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,7.0806555,0
"DALTON","52_1",1,"SAPLING","c","PIME",0,0,0,0,65.69073,-149.1245,5.24822,311.7770081,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,7.0806555,0
"DALTON","52_1",1,"SAPLING","d","POTR",0,0,0,0,65.69073,-149.1245,5.24822,311.7770081,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,7.0806555,0
"DALTON","52_1",1,"SAPLING","d","SALIX",1,0.00049086,25,0.0122715,65.69073,-149.1245,5.24822,311.7770081,347.9249878,609798.2024,5,6.8,2,2,0,1,0,50,0,7.0806555,0
"DALTON","64_1",1,"SAPLING","d","ALCR",20,0.6283008,500,15.70752,65.70761,-149.19055,7.25036,18.2584991,251.2550049,598158.4809,0,5.2,120,120,0,1,0,3000,0,30.29697,0
"DALTON","64_1",1,"SAPLING","d","BENE",100,0.583578,2500,14.58945,65.70761,-149.19055,7.25036,18.2584991,251.2550049,598158.4809,0,5.2,120,120,0,1,0,3000,0,30.29697,0
"DALTON","64_1",1,"SAPLING","c","PIME",0,0,0,0,65.70761,-149.19055,7.25036,18.2584991,251.2550049,598158.4809,0,5.2,120,120,0,1,0,3000,0,30.29697,0
"DALTON","64_1",1,"SAPLING","d","POTR",0,0,0,0,65.70761,-149.19055,7.25036,18.2584991,251.2550049,598158.4809,0,5.2,120,120,0,1,0,3000,0,30.29697,0
"DALTON","64_1",1,"SAPLING","d","SALIX",0,0,0,0,65.70761,-149.19055,7.25036,18.2584991,251.2550049,598158.4809,0,5.2,120,120,0,1,0,3000,0,30.29697,0
"DALTON","65_1",1,"SAPLING","d","ALCR",0,0,0,0,65.70811,-149.19125,6.3059802,358.2080078,245.8760071,597345.7863,2.5,3.3,1,1,0,1,0,25,0,0.0668115,0
"DALTON","65_1",1,"SAPLING","d","BENE",1,0.00267246,25,0.0668115,65.70811,-149.19125,6.3059802,358.2080078,245.8760071,597345.7863,2.5,3.3,1,1,0,1,0,25,0,0.0668115,0
"DALTON","65_1",1,"SAPLING","c","PIME",0,0,0,0,65.70811,-149.19125,6.3059802,358.2080078,245.8760071,597345.7863,2.5,3.3,1,1,0,1,0,25,0,0.0668115,0
"DALTON","65_1",1,"SAPLING","d","POTR",0,0,0,0,65.70811,-149.19125,6.3059802,358.2080078,245.8760071,597345.7863,2.5,3.3,1,1,0,1,0,25,0,0.0668115,0
"DALTON","65_1",1,"SAPLING","d","SALIX",0,0,0,0,65.70811,-149.19125,6.3059802,358.2080078,245.8760071,597345.7863,2.5,3.3,1,1,0,1,0,25,0,0.0668115,0
"DALTON","16_2",2,"SAPLING","d","ALCR",0,0,0,0,65.70504,-149.15279,4.1869702,279.5169983,322.3699951,606063.6038,2.5,3.2,174,174,0,1,0,4350,0,57.6555975,0
"DALTON","16_2",2,"SAPLING","d","BENE",63,1.12117878,1575,28.0294695,65.70504,-149.15279,4.1869702,279.5169983,322.3699951,606063.6038,2.5,3.2,174,174,0,1,0,4350,0,57.6555975,0
"DALTON","16_2",2,"SAPLING","c","PIME",0,0,0,0,65.70504,-149.15279,4.1869702,279.5169983,322.3699951,606063.6038,2.5,3.2,174,174,0,1,0,4350,0,57.6555975,0
"DALTON","16_2",2,"SAPLING","d","POTR",10,0.12702366,250,3.1755915,65.70504,-149.15279,4.1869702,279.5169983,322.3699951,606063.6038,2.5,3.2,174,174,0,1,0,4350,0,57.6555975,0
"DALTON","16_2",2,"SAPLING","d","SALIX",101,1.05802146,2525,26.4505365,65.70504,-149.15279,4.1869702,279.5169983,322.3699951,606063.6038,2.5,3.2,174,174,0,1,0,4350,0,57.6555975,0
"DALTON","32_2",2,"SAPLING","d","ALCR",0,0,0,0,65.6884,-149.1244,6.7414899,269.1610107,362.2969971,610389.6289,1.25,1.62,53,53,0,1,0,1325,0,139.6224,0
"DALTON","32_2",2,"SAPLING","d","BENE",32,5.12316036,800,128.079009,65.6884,-149.1244,6.7414899,269.1610107,362.2969971,610389.6289,1.25,1.62,53,53,0,1,0,1325,0,139.6224,0
"DALTON","32_2",2,"SAPLING","c","PIME",0,0,0,0,65.6884,-149.1244,6.7414899,269.1610107,362.2969971,610389.6289,1.25,1.62,53,53,0,1,0,1325,0,139.6224,0
"DALTON","32_2",2,"SAPLING","d","POTR",4,0.04286844,100,1.071711,65.6884,-149.1244,6.7414899,269.1610107,362.2969971,610389.6289,1.25,1.62,53,53,0,1,0,1325,0,139.6224,0
"DALTON","32_2",2,"SAPLING","d","SALIX",17,0.4188672,425,10.47168,65.6884,-149.1244,6.7414899,269.1610107,362.2969971,610389.6289,1.25,1.62,53,53,0,1,0,1325,0,139.6224,0
"DALTON","39_2",2,"SAPLING","d","ALCR",2,3.47272542,50,86.8181355,65.70004,-149.11685,4.0569301,25.8673992,313.4150085,605911.4401,0,7.3,26,26,0,1,0,650,0,184.440645,0
"DALTON","39_2",2,"SAPLING","d","BENE",17,3.68155908,425,92.038977,65.70004,-149.11685,4.0569301,25.8673992,313.4150085,605911.4401,0,7.3,26,26,0,1,0,650,0,184.440645,0
"DALTON","39_2",2,"SAPLING","c","PIME",0,0,0,0,65.70004,-149.11685,4.0569301,25.8673992,313.4150085,605911.4401,0,7.3,26,26,0,1,0,650,0,184.440645,0
"DALTON","39_2",2,"SAPLING","d","POTR",0,0,0,0,65.70004,-149.11685,4.0569301,25.8673992,313.4150085,605911.4401,0,7.3,26,26,0,1,0,650,0,184.440645,0
"DALTON","39_2",2,"SAPLING","d","SALIX",7,0.2233413,175,5.5835325,65.70004,-149.11685,4.0569301,25.8673992,313.4150085,605911.4401,0,7.3,26,26,0,1,0,650,0,184.440645,0
"DALTON","40_2",2,"SAPLING","d","ALCR",0,0,0,0,65.69016,-149.12027,5.6810298,30.8488007,351.7460022,610103.855,10,2,27,27,0,1,0,675,0,174.402558,0
"DALTON","40_2",2,"SAPLING","d","BENE",14,4.01065344,350,100.266336,65.69016,-149.12027,5.6810298,30.8488007,351.7460022,610103.855,10,2,27,27,0,1,0,675,0,174.402558,0
"DALTON","40_2",2,"SAPLING","c","PIME",0,0,0,0,65.69016,-149.12027,5.6810298,30.8488007,351.7460022,610103.855,10,2,27,27,0,1,0,675,0,174.402558,0
"DALTON","40_2",2,"SAPLING","d","POTR",3,0.02170692,75,0.542673,65.69016,-149.12027,5.6810298,30.8488007,351.7460022,610103.855,10,2,27,27,0,1,0,675,0,174.402558,0
"DALTON","40_2",2,"SAPLING","d","SALIX",10,2.94374196,250,73.593549,65.69016,-149.12027,5.6810298,30.8488007,351.7460022,610103.855,10,2,27,27,0,1,0,675,0,174.402558,0
"DALTON","47_2",2,"SAPLING","d","ALCR",33,4.50304056,825,112.576014,65.69946,-149.15793,5.2288299,203.7660065,266.3460083,600811.2884,0,4.8,87,87,0,1,0,2175,0,140.565942,0
"DALTON","47_2",2,"SAPLING","d","BENE",51,1.0946178,1275,27.365445,65.69946,-149.15793,5.2288299,203.7660065,266.3460083,600811.2884,0,4.8,87,87,0,1,0,2175,0,140.565942,0
"DALTON","47_2",2,"SAPLING","c","PIME",0,0,0,0,65.69946,-149.15793,5.2288299,203.7660065,266.3460083,600811.2884,0,4.8,87,87,0,1,0,2175,0,140.565942,0
"DALTON","47_2",2,"SAPLING","d","POTR",0,0,0,0,65.69946,-149.15793,5.2288299,203.7660065,266.3460083,600811.2884,0,4.8,87,87,0,1,0,2175,0,140.565942,0
"DALTON","47_2",2,"SAPLING","d","SALIX",3,0.02497932,75,0.624483,65.69946,-149.15793,5.2288299,203.7660065,266.3460083,600811.2884,0,4.8,87,87,0,1,0,2175,0,140.565942,0
"DALTON","56_2",2,"SAPLING","d","ALCR",6,0.0957177,150,2.3929425,65.69936,-149.1514,4.3580298,221.6459961,279.446991,602107.422,38.75,3.3,106,106,0,1,0,2650,0,48.627864,0
"DALTON","56_2",2,"SAPLING","d","BENE",89,1.43063874,2225,35.7659685,65.69936,-149.1514,4.3580298,221.6459961,279.446991,602107.422,38.75,3.3,106,106,0,1,0,2650,0,48.627864,0
"DALTON","56_2",2,"SAPLING","c","PIME",0,0,0,0,65.69936,-149.1514,4.3580298,221.6459961,279.446991,602107.422,38.75,3.3,106,106,0,1,0,2650,0,48.627864,0
"DALTON","56_2",2,"SAPLING","d","POTR",0,0,0,0,65.69936,-149.1514,4.3580298,221.6459961,279.446991,602107.422,38.75,3.3,106,106,0,1,0,2650,0,48.627864,0
"DALTON","56_2",2,"SAPLING","d","SALIX",11,0.41875812,275,10.468953,65.69936,-149.1514,4.3580298,221.6459961,279.446991,602107.422,38.75,3.3,106,106,0,1,0,2650,0,48.627864,0
"DALTON","57_2",2,"SAPLING","d","ALCR",2,0.80686476,50,20.171619,65.69627,-149.15442,3.48876,185.8280029,260.6889954,600326.3039,43.75,0.9,166,166,0,1,0,4150,0,135.9614025,0
"DALTON","57_2",2,"SAPLING","d","BENE",154,4.51094886,3850,112.7737215,65.69627,-149.15442,3.48876,185.8280029,260.6889954,600326.3039,43.75,0.9,166,166,0,1,0,4150,0,135.9614025,0
"DALTON","57_2",2,"SAPLING","c","PIME",0,0,0,0,65.69627,-149.15442,3.48876,185.8280029,260.6889954,600326.3039,43.75,0.9,166,166,0,1,0,4150,0,135.9614025,0
"DALTON","57_2",2,"SAPLING","d","POTR",0,0,0,0,65.69627,-149.15442,3.48876,185.8280029,260.6889954,600326.3039,43.75,0.9,166,166,0,1,0,4150,0,135.9614025,0
"DALTON","57_2",2,"SAPLING","d","SALIX",10,0.12064248,250,3.016062,65.69627,-149.15442,3.48876,185.8280029,260.6889954,600326.3039,43.75,0.9,166,166,0,1,0,4150,0,135.9614025,0
"DALTON","8_2",2,"SAPLING","d","ALCR",5,9.5259564,125,238.14891,65.70418,-149.14612,5.25912,202.5769958,336.2000122,607079.4354,42.5,1.4,33,32,1,0.96969696969697,0.0303030303030303,800,25,573.5303685,0.267246
"DALTON","8_2",2,"SAPLING","d","BENE",5,1.58967738,125,39.7419345,65.70418,-149.14612,5.25912,202.5769958,336.2000122,607079.4354,42.5,1.4,33,32,1,0.96969696969697,0.0303030303030303,800,25,573.5303685,0.267246
"DALTON","8_2",2,"SAPLING","c","PIME",1,0.01068984,25,0.267246,65.70418,-149.14612,5.25912,202.5769958,336.2000122,607079.4354,42.5,1.4,33,32,1,0.96969696969697,0.0303030303030303,800,25,573.5303685,0.267246
"DALTON","8_2",2,"SAPLING","d","POTR",0,0,0,0,65.70418,-149.14612,5.25912,202.5769958,336.2000122,607079.4354,42.5,1.4,33,32,1,0.96969696969697,0.0303030303030303,800,25,573.5303685,0.267246
"DALTON","8_2",2,"SAPLING","d","SALIX",22,11.82558096,550,295.639524,65.70418,-149.14612,5.25912,202.5769958,336.2000122,607079.4354,42.5,1.4,33,32,1,0.96969696969697,0.0303030303030303,800,25,573.5303685,0.267246
"DALTON","14_3",3,"SAPLING","d","ALCR",2,0.12576924,50,3.144231,65.68749,-149.19668,7.5756898,176.397995,310.9630127,604788.0359,0,0.875,14,14,0,1,0,350,0,7.027479,0
"DALTON","14_3",3,"SAPLING","d","BENE",7,0.06337548,175,1.584387,65.68749,-149.19668,7.5756898,176.397995,310.9630127,604788.0359,0,0.875,14,14,0,1,0,350,0,7.027479,0
"DALTON","14_3",3,"SAPLING","c","PIME",0,0,0,0,65.68749,-149.19668,7.5756898,176.397995,310.9630127,604788.0359,0,0.875,14,14,0,1,0,350,0,7.027479,0
"DALTON","14_3",3,"SAPLING","d","POTR",0,0,0,0,65.68749,-149.19668,7.5756898,176.397995,310.9630127,604788.0359,0,0.875,14,14,0,1,0,350,0,7.027479,0
"DALTON","14_3",3,"SAPLING","d","SALIX",5,0.09195444,125,2.298861,65.68749,-149.19668,7.5756898,176.397995,310.9630127,604788.0359,0,0.875,14,14,0,1,0,350,0,7.027479,0
"DALTON","15_3",3,"SAPLING","d","ALCR",0,0,0,0,65.6936,-149.19728,11.0676003,311.6319885,316.0270081,603810.8466,10,2.97,540,540,0,1,0,13500,0,572.01552,0
"DALTON","15_3",3,"SAPLING","d","BENE",520,19.3366116,13000,483.41529,65.6936,-149.19728,11.0676003,311.6319885,316.0270081,603810.8466,10,2.97,540,540,0,1,0,13500,0,572.01552,0
"DALTON","15_3",3,"SAPLING","c","PIME",0,0,0,0,65.6936,-149.19728,11.0676003,311.6319885,316.0270081,603810.8466,10,2.97,540,540,0,1,0,13500,0,572.01552,0
"DALTON","15_3",3,"SAPLING","d","POTR",0,0,0,0,65.6936,-149.19728,11.0676003,311.6319885,316.0270081,603810.8466,10,2.97,540,540,0,1,0,13500,0,572.01552,0
"DALTON","15_3",3,"SAPLING","d","SALIX",20,3.5440092,500,88.60023,65.6936,-149.19728,11.0676003,311.6319885,316.0270081,603810.8466,10,2.97,540,540,0,1,0,13500,0,572.01552,0
"DALTON","37_3",3,"SAPLING","d","ALCR",12,1.5391188,300,38.47797,65.68577,-149.19524,10.3354998,158.7089996,287.2839966,602007.9447,38.75,2.5,57,57,0,1,0,1425,0,129.966093,0
"DALTON","37_3",3,"SAPLING","d","BENE",17,0.77343174,425,19.3357935,65.68577,-149.19524,10.3354998,158.7089996,287.2839966,602007.9447,38.75,2.5,57,57,0,1,0,1425,0,129.966093,0
"DALTON","37_3",3,"SAPLING","c","PIME",0,0,0,0,65.68577,-149.19524,10.3354998,158.7089996,287.2839966,602007.9447,38.75,2.5,57,57,0,1,0,1425,0,129.966093,0
"DALTON","37_3",3,"SAPLING","d","POTR",0,0,0,0,65.68577,-149.19524,10.3354998,158.7089996,287.2839966,602007.9447,38.75,2.5,57,57,0,1,0,1425,0,129.966093,0
"DALTON","37_3",3,"SAPLING","d","SALIX",28,2.88609318,700,72.1523295,65.68577,-149.19524,10.3354998,158.7089996,287.2839966,602007.9447,38.75,2.5,57,57,0,1,0,1425,0,129.966093,0
"DALTON","54_3",3,"SAPLING","d","ALCR",0,0,0,0,65.69318,-149.19493,8.7726297,315.6390076,336.9719849,606549.7337,67.5,1.25,22,22,0,1,0,550,0,45.2013885,0
"DALTON","54_3",3,"SAPLING","d","BENE",19,1.39720572,475,34.930143,65.69318,-149.19493,8.7726297,315.6390076,336.9719849,606549.7337,67.5,1.25,22,22,0,1,0,550,0,45.2013885,0
"DALTON","54_3",3,"SAPLING","c","PIME",0,0,0,0,65.69318,-149.19493,8.7726297,315.6390076,336.9719849,606549.7337,67.5,1.25,22,22,0,1,0,550,0,45.2013885,0
"DALTON","54_3",3,"SAPLING","d","POTR",0,0,0,0,65.69318,-149.19493,8.7726297,315.6390076,336.9719849,606549.7337,67.5,1.25,22,22,0,1,0,550,0,45.2013885,0
"DALTON","54_3",3,"SAPLING","d","SALIX",3,0.41084982,75,10.2712455,65.69318,-149.19493,8.7726297,315.6390076,336.9719849,606549.7337,67.5,1.25,22,22,0,1,0,550,0,45.2013885,0
"DALTON","55_3",3,"SAPLING","d","ALCR",6,2.15416638,150,53.8541595,65.69235,-149.19681,10.9991999,268.0150146,333.5549927,605419.8585,50,1.62,146,146,0,1,0,3650,0,171.083799,0
"DALTON","55_3",3,"SAPLING","d","BENE",106,3.11848812,2650,77.962203,65.69235,-149.19681,10.9991999,268.0150146,333.5549927,605419.8585,50,1.62,146,146,0,1,0,3650,0,171.083799,0
"DALTON","55_3",3,"SAPLING","c","PIME",0,0,0,0,65.69235,-149.19681,10.9991999,268.0150146,333.5549927,605419.8585,50,1.62,146,146,0,1,0,3650,0,171.083799,0
"DALTON","55_3",3,"SAPLING","d","POTR",0,0,0,0,65.69235,-149.19681,10.9991999,268.0150146,333.5549927,605419.8585,50,1.62,146,146,0,1,0,3650,0,171.083799,0
"DALTON","55_3",3,"SAPLING","d","SALIX",34,1.57069746,850,39.2674365,65.69235,-149.19681,10.9991999,268.0150146,333.5549927,605419.8585,50,1.62,146,146,0,1,0,3650,0,171.083799,0
"DALTON","7_3",3,"SAPLING","d","ALCR",2,0.17894574,50,4.4736435,65.68674,-149.19289,9.26019,132.677002,292.8930054,602306.2811,32.5,1.7,7,7,0,1,0,175,0,6.825681,0
"DALTON","7_3",3,"SAPLING","d","BENE",4,0.07002936,100,1.750734,65.68674,-149.19289,9.26019,132.677002,292.8930054,602306.2811,32.5,1.7,7,7,0,1,0,175,0,6.825681,0
"DALTON","7_3",3,"SAPLING","c","PIME",0,0,0,0,65.68674,-149.19289,9.26019,132.677002,292.8930054,602306.2811,32.5,1.7,7,7,0,1,0,175,0,6.825681,0
"DALTON","7_3",3,"SAPLING","d","POTR",0,0,0,0,65.68674,-149.19289,9.26019,132.677002,292.8930054,602306.2811,32.5,1.7,7,7,0,1,0,175,0,6.825681,0
