"SITE","SITECODE","SITENUM","TREAT","SPP","DBH_AV","CAN_AV","BROW_INDEX","UND","CLUMP","STEM_COUNT","QUAD"
"DALTON","32_2",32,2,"SALIX",0.7,80,1,"?3 SA_2","IND",1,2
"DALTON","32_2",32,2,"POTR",2,90,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"POTR",1.1,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"SALIX",0.8,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"SALIX",0.2,30,1,"COSU","IND",1,2
"DALTON","32_2",32,2,"SALIX",1.3,5,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"SALIX",0.6,100,0,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",7.1,92,1,"VAVI","CLUMP",5,2
"DALTON","32_2",32,2,"BENE",5.3,86.66667,1,"VAVI","CLUMP",3,2
"DALTON","32_2",32,2,"BENE",1.2,95,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",10.9,68.75,0.5,"VAVI","CLUMP",4,2
"DALTON","32_2",32,2,"BENE",6.6,57,1,"VAVI","CLUMP",5,2
"DALTON","32_2",32,2,"BENE",6.6,97,0.8,"VAVI","CLUMP",5,2
"DALTON","32_2",32,2,"SALIX",3.5,20.5,1,"VAVI","CLUMP",2,2
"DALTON","32_2",32,2,"BENE",5.2,86.66667,1,"VAVI","CLUMP",3,2
"DALTON","32_2",32,2,"BENE",4.3,90,0.33,"VAVI","CLUMP",3,2
"DALTON","32_2",32,2,"POTR",1.2,90,1,"VAUL","IND",1,2
"DALTON","32_2",32,2,"BENE",9.9,75,1,"VAVI","CLUMP",3,2
"DALTON","32_2",32,2,"POTR",1.1,100,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"SALIX",1.4,20,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",15.5,95,1,"VAVI","CLUMP",6,2
"DALTON","32_2",32,2,"SALIX",5.3,45,0.83,"VAVI","CLUMP",6,2
"DALTON","32_2",32,2,"SALIX",0.8,40,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",11.5,85.55556,0.44,"VAVI","CLUMP",9,2
"DALTON","32_2",32,2,"BENE",1.2,50,1,"VAUL","IND",1,2
"DALTON","32_2",32,2,"BENE",7.1,73,0.8,"VAVI","CLUMP",5,2
"DALTON","32_2",32,2,"SALIX",0.6,5,1,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",3.8,87.5,1,"VAVI","CLUMP",2,2
"DALTON","32_2",32,2,"SALIX",0.7,75,0,"VAVI","IND",1,2
"DALTON","32_2",32,2,"BENE",4.1,95,1,"VAVI","CLUMP",2,2
"DALTON","39_2",39,2,"BENE",2.6,97.5,1,"VAVI","CLUMP",2,2
"DALTON","39_2",39,2,"BENE",2.4,100,1,"VAVI","CLUMP",2,2
"DALTON","39_2",39,2,"BENE",9.9,97.5,0.17,"VAVI","CLUMP",6,2
"DALTON","39_2",39,2,"BENE",6,96.666667,0,"VAVI","CLUMP",3,2
"DALTON","39_2",39,2,"SALIX",5.5,96.66667,0,"VAVI","CLUMP",3,2
"DALTON","39_2",39,2,"BENE",7.5,92.5,0,"VAVI","CLUMP",4,2
"DALTON","39_2",39,2,"BENE",2.1,100,0,"EQAR","CLUMP",2,2
"DALTON","39_2",39,2,"SALIX",0.7,100,0,"EQAR","IND",1,2
"DALTON","39_2",39,2,"SALIX",0.2,100,0,"EQSC","IND",1,2
"DALTON","39_2",39,2,"SALIX",0.1,100,0,"EQSC","IND",1,2
"DALTON","39_2",39,2,"SALIX",0.4,100,0,"EQAR","CLUMP",2,2
"DALTON","39_2",39,2,"BENE",0.4,5,1,"EQAR","IND",1,2
"DALTON","39_2",39,2,"BENE",0.4,95,1,"EQAR","IND",1,2
"DALTON","39_2",39,2,"SALIX",2.6,100,0,"EQAR","CLUMP",4,2
"DALTON","39_2",39,2,"BENE",2.1,98.75,0.25,"EQSC","CLUMP",4,2
"DALTON","39_2",39,2,"SALIX",1.8,100,0,"VAVI","CLUMP",3,2
"DALTON","39_2",39,2,"ALCR",25.2,82.64705882,0.47,"EQAR","CLUMP",17,2
"DALTON","39_2",39,2,"BENE",3.4,90,1,"POPA","CLUMP",2,2
"DALTON","39_2",39,2,"BENE",4.4,100,0,"POPA","CLUMP",4,2
"DALTON","39_2",39,2,"BENE",2.6,92.5,1,"POPA","CLUMP",2,2
"DALTON","39_2",39,2,"BENE",9.3,56.666667,0.5,"POPA","CLUMP",6,2
"DALTON","39_2",39,2,"BENE",7.6,93.33333,0,"POPA","CLUMP",3,2
"DALTON","39_2",39,2,"BENE",14.6,69.90909091,0.45,"POPA","CLUMP",11,2
"DALTON","39_2",39,2,"BENE",8.4,46.4,0.8,"POPA","CLUMP",5,2
"DALTON","39_2",39,2,"BENE",1.5,100,0,"POPA","IND",1,2
"DALTON","39_2",39,2,"BENE",1.4,100,0,"POPA","IND",1,2
"DALTON","39_2",39,2,"ALCR",1.3,95,1,"POPA","IND",1,2
"DALTON","56_2",56,2,"SALIX",0.5,95,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.3,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",3.1,98.33333,0.33,"VAVI","CLUMP",3,2
"DALTON","56_2",56,2,"SALIX",0.5,100,1,"VAVI","IND",1,2
"DALTON","56_2",56,2,"BENE",0.9,100,0,"LITTER","IND",1,2
"DALTON","56_2",56,2,"BENE",3.8,100,0.67,"EQAR","CLUMP",3,2
"DALTON","56_2",56,2,"SALIX",0.6,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",6.3,99,0.2,"EQAR","CLUMP",5,2
"DALTON","56_2",56,2,"BENE",2.3,100,0,"EQAR","CLUMP",2,2
"DALTON","56_2",56,2,"BENE",1.3,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"SALIX",1,80,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"SALIX",0.9,90,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",3.6,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"SALIX",1.6,50,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"SALIX",1.3,90,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.1,95,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.1,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.3,95,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.6,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.4,90,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"ALCR",2.3,95,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.6,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.3,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.4,95,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.1,90,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1,100,0.33,"VAVI","CLUMP",3,2
"DALTON","56_2",56,2,"SALIX",0.5,100,0,"VAVI","IND",1,2
"DALTON","56_2",56,2,"BENE",0.9,95,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.6,100,0,"VAVI","IND",1,2
"DALTON","56_2",56,2,"BENE",2.3,100,0.5,"EQAR","CLUMP",4,2
"DALTON","56_2",56,2,"BENE",0.6,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.1,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",3.3,95,0,"LITTER","CLUMP",3,2
"DALTON","56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"ALCR",1.7,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.9,10,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.7,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.6,95,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.1,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.4,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.1,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.8,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.8,1,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.2,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.4,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.5,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.7,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.1,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.4,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.5,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.4,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.3,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.5,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.5,100,0,"LITTER","IND",1,2
"DALTON","56_2",56,2,"BENE",1.2,100,0,"EQSY","IND",1,2
"DALTON","56_2",56,2,"BENE",0.5,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.6,30,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.3,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.4,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1,100,0,"EQSY","IND",1,2
"DALTON","56_2",56,2,"BENE",0.5,100,0,"EQSY","IND",1,2
"DALTON","56_2",56,2,"BENE",0.6,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.3,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"SALIX",6,100,0.17,"EQAR","CLUMP",6,2
"DALTON","56_2",56,2,"BENE",1.4,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"SALIX",1.5,100,0,"MEPA","CLUMP",2,2
"DALTON","56_2",56,2,"BENE",1.1,100,0,"MEPA","IND",1,2
"DALTON","56_2",56,2,"BENE",1.1,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.8,100,0,"WHFL?","IND",1,2
"DALTON","56_2",56,2,"BENE",0.5,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.5,95,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.7,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.9,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.8,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.8,60,1,"LITTER","IND",1,2
"DALTON","56_2",56,2,"BENE",0.8,5,1,"EQSY","IND",1,2
"DALTON","56_2",56,2,"BENE",1.2,100,0,"MEPA","IND",1,2
"DALTON","56_2",56,2,"BENE",1.3,95,0.5,"EQAR","CLUMP",2,2
"DALTON","56_2",56,2,"BENE",0.8,100,1,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.7,100,0,"EQAR","CLUMP",2,2
"DALTON","56_2",56,2,"BENE",2.7,100,0.5,"CHAN","CLUMP",2,2
"DALTON","56_2",56,2,"BENE",1.6,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"ALCR",2.8,90,0.33,"EQAR","CLUMP",3,2
"DALTON","56_2",56,2,"BENE",1.6,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"ALCR",0.9,80,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"ALCR",0.6,95,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",0.5,100,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"BENE",1.1,90,0,"EQAR","IND",1,2
"DALTON","56_2",56,2,"ALCR",0.6,100,0,"MEPA","IND",1,2
"DALTON","56_2",56,2,"BENE",8.8,100,0,"LEGR","CLUMP",4,2
"DALTON","56_2",56,2,"BENE",3.4,100,0,"LEGR","CLUMP",2,2
"DALTON","56_2",56,2,"SALIX",5.6,100,0,"LEGR","CLUMP",3,2
"DALTON","56_2",56,2,"BENE",1.1,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,95,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1,5,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.2,10,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",0.7,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.4,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.4,5,1,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.7,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.3,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,95,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",2.1,90,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",0.9,100,1,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,95,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1,5,1,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.7,80,1,"POPR","IND",1,2
"DALTON","57_2",57,2,"BENE",0.9,1,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1,100,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.7,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.7,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.4,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.4,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.6,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.7,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.3,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.1,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.6,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.2,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"SALIX",1.2,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.6,95,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,90,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"ALCR",8.7,63.33333,1,"EQAR","CLUMP",3,2
"DALTON","57_2",57,2,"BENE",1.3,100,1,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.2,90,1,"POPR","IND",1,2
"DALTON","57_2",57,2,"SALIX",19.4,100,0,"VAVI","CLUMP",12,2
"DALTON","57_2",57,2,"BENE",1.3,100,0,"POPR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.2,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.3,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.6,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.4,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,80,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,90,1,"LITTER","IND",1,2
"DALTON","57_2",57,2,"ALCR",8.5,100,0.33,"CHAN","CLUMP",3,2
"DALTON","57_2",57,2,"SALIX",1.2,80,1,"LEGR","IND",1,2
"DALTON","57_2",57,2,"BENE",1,95,1,"LITTER","IND",1,2
"DALTON","57_2",57,2,"SALIX",1.4,60,1,"LEGR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,95,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.2,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.1,95,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,100,0,"EQSY","IND",1,2
"DALTON","57_2",57,2,"BENE",1.7,100,0,"EQSY","IND",1,2
"DALTON","57_2",57,2,"BENE",2.1,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2,100,0,"EQSY","IND",1,2
"DALTON","57_2",57,2,"BENE",2.9,100,1,"EQSY","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,100,0,"EQSY","IND",1,2
"DALTON","57_2",57,2,"BENE",2.7,100,0,"EQSY","IND",1,2
"DALTON","57_2",57,2,"BENE",2.2,100,0,"EQSY","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,70,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.4,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.5,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.6,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.4,40,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.6,20,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",3.1,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.8,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1,90,0,"EQSY","IND",1,2
"DALTON","57_2",57,2,"BENE",2.3,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",3.5,95,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.4,60,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,90,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,20,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.1,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",2.5,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.3,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.3,95,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.7,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.3,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,50,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.6,95,1,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,95,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.4,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"SALIX",1.5,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",3.6,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"SALIX",1,5,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",3,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.1,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.4,50,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1,90,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.7,95,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",2.7,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",2.7,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"SALIX",2.4,10,1,"EQAR","CLUMP",2,2
"DALTON","57_2",57,2,"BENE",1.6,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.5,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",6.9,95,0.5,"EQAR","CLUMP",2,2
"DALTON","57_2",57,2,"BENE",1.5,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.6,95,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,100,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,95,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,95,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.3,100,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,90,1,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",2.4,95,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",10.2,100,0.33,"EQAR","CLUMP",3,2
"DALTON","57_2",57,2,"BENE",6.1,100,0.33,"EQAR","CLUMP",3,2
"DALTON","57_2",57,2,"BENE",1.9,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"SALIX",1.5,5,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",4.5,100,0,"EQAR","CLUMP",2,2
"DALTON","57_2",57,2,"BENE",2.2,95,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",2.8,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",4,95,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",2.1,100,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",5.6,100,0,"EQAR","CLUMP",3,2
"DALTON","57_2",57,2,"BENE",3.1,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",8.1,98.75,0,"EQAR","CLUMP",4,2
"DALTON","57_2",57,2,"BENE",1.4,90,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",1.3,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",2.4,100,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.4,95,0,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",2.3,95,0,"LITTER","CLUMP",2,2
"DALTON","57_2",57,2,"BENE",1.6,95,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.1,80,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.6,90,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",3.8,90,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.1,90,1,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",2,95,1,"LITTER","IND",1,2
"DALTON","57_2",57,2,"BENE",1.5,5,1,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.8,95,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",2.8,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"SALIX",1.3,95,1,"EQAR","CLUMP",1,2
"DALTON","57_2",57,2,"BENE",2.4,100,0,"CHAN","IND",1,2
"DALTON","57_2",57,2,"BENE",2.2,100,0,"EQAR","IND",1,2
"DALTON","57_2",57,2,"BENE",1.9,95,0,"EQAR","IND",1,2
