SITE,PLOT,TREAT,SPP,DBH,CANOPY,BROWSE,UND,START_END,CLUMP,QUAD,DIV,BA_unscale,BA_ha
DALTON,32_2,2,BENE,2.5,95,y,VAVI,,IND,100,d,0.000490874,0.049087385
DALTON,32_2,2,BENE,6.9,90,y,VAVI,,IND,100,d,0.003739281,0.373928066
DALTON,32_2,2,BENE,2.4,95,y,VAVI,,IND,100,d,0.000452389,0.045238934
DALTON,32_2,2,BENE,2.7,100,y,VAUL,,IND,100,d,0.000572555,0.057255526
DALTON,32_2,2,BENE,3.1,95,n,VAUL,,IND,100,d,0.000754768,0.075476764
DALTON,32_2,2,BENE,1.9,100,y,VAVI,,IND,100,d,0.000283529,0.028352874
DALTON,32_2,2,BENE,1.2,100,y,VAVI,,IND,100,d,0.000113097,0.011309734
DALTON,32_2,2,BENE,1.9,100,y,VAVI,,IND,100,d,0.000283529,0.028352874
DALTON,32_2,2,SALIX,0.3,90,y,?3 SA_2,,IND,100,d,7.07E-06,0.000706858
DALTON,32_2,2,SALIX,0.6,15,n,?3 SA_2,,IND,100,d,2.83E-05,0.002827433
DALTON,32_2,2,SALIX,1,80,y,?3 SA_2,,IND,100,d,7.85E-05,0.007853982
DALTON,32_2,2,SALIX,0.7,80,y,?3 SA_2,,IND,100,d,3.85E-05,0.003848451
DALTON,32_2,2,POTR,2,90,y,VAVI,,IND,100,d,0.000314159,0.031415927
DALTON,32_2,2,POTR,1.1,100,y,VAVI,,IND,100,d,9.50E-05,0.009503318
DALTON,32_2,2,SALIX,0.8,100,y,VAVI,,IND,100,d,5.03E-05,0.005026548
DALTON,32_2,2,SALIX,0.2,30,y,COSU,,IND,100,d,3.14E-06,0.000314159
DALTON,32_2,2,SALIX,1.3,5,y,VAVI,,IND,100,d,0.000132732,0.013273229
DALTON,32_2,2,SALIX,0.6,100,n,VAVI,,IND,100,d,2.83E-05,0.002827433
DALTON,32_2,2,BENE,1.9,100,y,VAVI,START,CLUMP,100,d,0.000283529,0.028352874
DALTON,32_2,2,BENE,2.3,75,y,VAVI,,CLUMP,100,d,0.000415476,0.041547563
DALTON,32_2,2,BENE,1.5,95,y,VAVI,,CLUMP,100,d,0.000176715,0.017671459
DALTON,32_2,2,BENE,0.8,90,y,VAVI,,CLUMP,100,d,5.03E-05,0.005026548
DALTON,32_2,2,BENE,0.6,100,y,VAVI,END,CLUMP,100,d,2.83E-05,0.002827433
DALTON,32_2,2,BENE,1.5,90,y,VAVI,START,CLUMP,100,d,0.000176715,0.017671459
DALTON,32_2,2,BENE,1.4,90,y,VAVI,,CLUMP,100,d,0.000153938,0.015393804
DALTON,32_2,2,BENE,2.4,80,y,VAVI,END,CLUMP,100,d,0.000452389,0.045238934
DALTON,32_2,2,BENE,1.2,95,y,VAVI,,IND,100,d,0.000113097,0.011309734
DALTON,32_2,2,BENE,6.2,90,y,VAVI,START,CLUMP,100,d,0.003019071,0.301907054
DALTON,32_2,2,BENE,1.1,15,n,VAVI,,CLUMP,100,d,9.50E-05,0.009503318
DALTON,32_2,2,BENE,1.9,80,y,VAVI,,CLUMP,100,d,0.000283529,0.028352874
DALTON,32_2,2,BENE,1.7,90,n,VAVI,,CLUMP,100,d,0.00022698,0.022698007
DALTON,32_2,2,BENE,1.4,5,y,VAVI,START,CLUMP,100,d,0.000153938,0.015393804
DALTON,32_2,2,BENE,1.3,80,y,VAVI,,CLUMP,100,d,0.000132732,0.013273229
DALTON,32_2,2,BENE,1.5,40,y,VAVI,,CLUMP,100,d,0.000176715,0.017671459
DALTON,32_2,2,BENE,1.2,60,y,VAVI,,CLUMP,100,d,0.000113097,0.011309734
DALTON,32_2,2,BENE,1.2,100,y,VAVI,END,CLUMP,100,d,0.000113097,0.011309734
DALTON,32_2,2,BENE,1.7,100,y,VAVI,START,CLUMP,100,d,0.00022698,0.022698007
DALTON,32_2,2,BENE,2.2,100,y,VAVI,,CLUMP,100,d,0.000380133,0.038013271
DALTON,32_2,2,BENE,1.6,90,y,VAVI,,CLUMP,100,d,0.000201062,0.020106193
DALTON,32_2,2,BENE,0.9,95,y,VAVI,,CLUMP,100,d,6.36E-05,0.006361725
DALTON,32_2,2,BENE,0.2,100,n,VAVI,END,CLUMP,100,d,3.14E-06,0.000314159
DALTON,32_2,2,SALIX,1.6,1,y,VAVI,START,CLUMP,100,d,0.000201062,0.020106193
DALTON,32_2,2,SALIX,1.9,40,y,VAVI,,CLUMP,100,d,0.000283529,0.028352874
DALTON,32_2,2,BENE,1,80,y,VAVI,START,CLUMP,100,d,7.85E-05,0.007853982
DALTON,32_2,2,BENE,2.1,80,y,VAVI,,CLUMP,100,d,0.000346361,0.034636059
DALTON,32_2,2,BENE,2.1,100,y,VAVI,END,CLUMP,100,d,0.000346361,0.034636059
DALTON,32_2,2,BENE,1,95,y,VAVI,START,CLUMP,100,d,7.85E-05,0.007853982
DALTON,32_2,2,BENE,1.4,90,n,VAVI,,CLUMP,100,d,0.000153938,0.015393804
DALTON,32_2,2,BENE,1.9,85,n,VAVI,END,CLUMP,100,d,0.000283529,0.028352874
DALTON,32_2,2,POTR,1.2,90,y,VAUL,,IND,100,d,0.000113097,0.011309734
DALTON,32_2,2,BENE,2.1,90,y,VAVI,START,CLUMP,100,d,0.000346361,0.034636059
DALTON,32_2,2,BENE,2.2,50,y,VAVI,,CLUMP,100,d,0.000380133,0.038013271
DALTON,32_2,2,BENE,5.6,85,y,VAVI,END,CLUMP,100,d,0.002463009,0.246300864
DALTON,32_2,2,POTR,1.1,100,y,VAVI,,IND,100,d,9.50E-05,0.009503318
DALTON,32_2,2,SALIX,1.4,20,y,VAVI,,IND,100,d,0.000153938,0.015393804
DALTON,32_2,2,BENE,2.4,90,y,VAVI,START,CLUMP,100,d,0.000452389,0.045238934
DALTON,32_2,2,BENE,4.2,100,y,VAVI,,CLUMP,100,d,0.001385442,0.138544236
DALTON,32_2,2,BENE,4.7,100,y,VAVI,,CLUMP,100,d,0.001734945,0.173494454
DALTON,32_2,2,BENE,1.9,90,y,VAVI,,CLUMP,100,d,0.000283529,0.028352874
DALTON,32_2,2,BENE,1,100,y,VAVI,,CLUMP,100,d,7.85E-05,0.007853982
DALTON,32_2,2,BENE,1.3,90,y,VAVI,END,CLUMP,100,d,0.000132732,0.013273229
DALTON,32_2,2,SALIX,0.9,75,y,VAVI,START,CLUMP,100,d,6.36E-05,0.006361725
DALTON,32_2,2,SALIX,0.4,30,y,VAVI,,CLUMP,100,d,1.26E-05,0.001256637
DALTON,32_2,2,SALIX,0.3,40,y,VAVI,,CLUMP,100,d,7.07E-06,0.000706858
DALTON,32_2,2,SALIX,1.5,55,y,VAVI,,CLUMP,100,d,0.000176715,0.017671459
DALTON,32_2,2,SALIX,1.1,40,y,VAVI,,CLUMP,100,d,9.50E-05,0.009503318
DALTON,32_2,2,SALIX,1.1,30,n,VAVI,,CLUMP,100,d,9.50E-05,0.009503318
DALTON,32_2,2,SALIX,0.8,40,y,VAVI,,IND,100,d,5.03E-05,0.005026548
DALTON,32_2,2,BENE,0.2,100,n,VAVI,START,CLUMP,100,d,3.14E-06,0.000314159
DALTON,32_2,2,BENE,1.3,80,y,VAVI,,CLUMP,100,d,0.000132732,0.013273229
DALTON,32_2,2,BENE,0.7,100,n,VAVI,,CLUMP,100,d,3.85E-05,0.003848451
DALTON,32_2,2,BENE,0.8,100,n,VAVI,,CLUMP,100,d,5.03E-05,0.005026548
DALTON,32_2,2,BENE,2.7,100,n,VAVI,,CLUMP,100,d,0.000572555,0.057255526
DALTON,32_2,2,BENE,1.7,90,y,VAVI,,CLUMP,100,d,0.00022698,0.022698007
DALTON,32_2,2,BENE,1.3,25,y,VAVI,,CLUMP,100,d,0.000132732,0.013273229
DALTON,32_2,2,BENE,1.7,80,y,VAVI,,CLUMP,100,d,0.00022698,0.022698007
DALTON,32_2,2,BENE,1.1,95,n,VAVI,END,CLUMP,100,d,9.50E-05,0.009503318
DALTON,32_2,2,BENE,1.2,50,y,VAUL,,IND,100,d,0.000113097,0.011309734
DALTON,32_2,2,BENE,0.6,100,y,VAVI,START,CLUMP,100,d,2.83E-05,0.002827433
DALTON,32_2,2,BENE,1.8,100,n,VAVI,,CLUMP,100,d,0.000254469,0.0254469
DALTON,32_2,2,BENE,0.7,5,y,VAVI,,CLUMP,100,d,3.85E-05,0.003848451
DALTON,32_2,2,BENE,2.2,80,y,VAVI,,CLUMP,100,d,0.000380133,0.038013271
DALTON,32_2,2,BENE,1.8,80,y,VAVI,END,CLUMP,100,d,0.000254469,0.0254469
DALTON,32_2,2,SALIX,0.6,5,y,VAVI,,IND,100,d,2.83E-05,0.002827433
DALTON,32_2,2,BENE,1.5,90,y,VAVI,START,CLUMP,100,d,0.000176715,0.017671459
DALTON,32_2,2,BENE,2.3,85,y,VAVI,END,CLUMP,100,d,0.000415476,0.041547563
DALTON,32_2,2,SALIX,0.7,75,n,VAVI,,IND,100,d,3.85E-05,0.003848451
DALTON,32_2,2,BENE,1.8,100,y,VAVI,START,CLUMP,100,d,0.000254469,0.0254469
DALTON,32_2,2,BENE,2.3,90,y,VAVI,END,CLUMP,100,d,0.000415476,0.041547563
DALTON,39_2,2,BENE,0.9,95,y,VAVI,START,CLUMP,50,d,6.36E-05,0.003180863
DALTON,39_2,2,BENE,1.7,100,y,VAVI,END,CLUMP,50,d,0.00022698,0.011349003
DALTON,39_2,2,BENE,0.7,100,y,VAVI,START,CLUMP,50,d,3.85E-05,0.001924226
DALTON,39_2,2,BENE,1.7,100,y,VAVI,END,CLUMP,50,d,0.00022698,0.011349003
DALTON,39_2,2,BENE,0.6,100,n,VAVI,START,CLUMP,50,d,2.83E-05,0.001413717
DALTON,39_2,2,BENE,1.9,100,n,VAVI,,CLUMP,50,d,0.000283529,0.014176437
DALTON,39_2,2,BENE,2.5,95,y,VAVI,,CLUMP,50,d,0.000490874,0.024543693
DALTON,39_2,2,BENE,1.3,95,n,VAVI,,CLUMP,50,d,0.000132732,0.006636614
DALTON,39_2,2,BENE,1.5,100,n,VAVI,,CLUMP,50,d,0.000176715,0.008835729
DALTON,39_2,2,BENE,2.1,95,n,VAVI,END,CLUMP,50,d,0.000346361,0.01731803
DALTON,39_2,2,BENE,2.1,100,n,VAVI,START,CLUMP,50,d,0.000346361,0.01731803
DALTON,39_2,2,BENE,2.1,95,n,VAVI,,CLUMP,50,d,0.000346361,0.01731803
DALTON,39_2,2,BENE,1.8,95,n,VAVI,END,CLUMP,50,d,0.000254469,0.01272345
DALTON,39_2,2,SALIX,1.5,100,n,VAVI,START,CLUMP,50,d,0.000176715,0.008835729
DALTON,39_2,2,SALIX,1.9,100,n,VAVI,,CLUMP,50,d,0.000283529,0.014176437
DALTON,39_2,2,SALIX,2.1,90,n,VAVI,END,CLUMP,50,d,0.000346361,0.01731803
DALTON,39_2,2,BENE,1.9,100,n,VAVI,START,CLUMP,50,d,0.000283529,0.014176437
DALTON,39_2,2,BENE,1.8,90,n,VAVI,,CLUMP,50,d,0.000254469,0.01272345
DALTON,39_2,2,BENE,1.9,80,n,VAVI,,CLUMP,50,d,0.000283529,0.014176437
DALTON,39_2,2,BENE,1.9,100,n,VAVI,END,CLUMP,50,d,0.000283529,0.014176437
DALTON,39_2,2,BENE,1.5,100,n,EQAR,START,CLUMP,50,d,0.000176715,0.008835729
DALTON,39_2,2,BENE,0.6,100,n,EQAR,END,CLUMP,50,d,2.83E-05,0.001413717
DALTON,39_2,2,SALIX,0.7,100,n,EQAR,,IND,50,d,3.85E-05,0.001924226
DALTON,39_2,2,SALIX,0.2,100,n,EQSC,,IND,50,d,3.14E-06,0.00015708
DALTON,39_2,2,SALIX,0.1,100,n,EQSC,,IND,50,d,7.85E-07,3.93E-05
DALTON,39_2,2,SALIX,0.2,100,n,EQAR,START,CLUMP,50,d,3.14E-06,0.00015708
DALTON,39_2,2,SALIX,0.2,100,n,EQAR,END,CLUMP,50,d,3.14E-06,0.00015708
DALTON,39_2,2,BENE,0.4,5,y,EQAR,,IND,50,d,1.26E-05,0.000628319
DALTON,39_2,2,BENE,0.4,95,y,EQAR,,IND,50,d,1.26E-05,0.000628319
DALTON,39_2,2,SALIX,0.5,100,n,EQAR,START,CLUMP,50,d,1.96E-05,0.000981748
DALTON,39_2,2,SALIX,0.5,100,n,EQAR,,CLUMP,50,d,1.96E-05,0.000981748
DALTON,39_2,2,SALIX,0.8,100,n,EQAR,,CLUMP,50,d,5.03E-05,0.002513274
DALTON,39_2,2,SALIX,0.8,100,n,EQAR,END,CLUMP,50,d,5.03E-05,0.002513274
DALTON,39_2,2,BENE,0.4,100,n,EQSC,START,CLUMP,50,d,1.26E-05,0.000628319
DALTON,39_2,2,BENE,0.5,100,n,EQSC,,CLUMP,50,d,1.96E-05,0.000981748
DALTON,39_2,2,BENE,0.7,95,y,EQSC,,CLUMP,50,d,3.85E-05,0.001924226
DALTON,39_2,2,BENE,0.5,100,n,EQSC,END,CLUMP,50,d,1.96E-05,0.000981748
DALTON,39_2,2,SALIX,0.6,100,n,VAVI,START,CLUMP,50,d,2.83E-05,0.001413717
DALTON,39_2,2,SALIX,0.5,100,n,VAVI,,CLUMP,50,d,1.96E-05,0.000981748
DALTON,39_2,2,SALIX,0.7,100,n,VAVI,END,CLUMP,50,d,3.85E-05,0.001924226
DALTON,39_2,2,ALCR,1.3,100,y,EQAR,START,CLUMP,50,d,0.000132732,0.006636614
DALTON,39_2,2,ALCR,1.9,100,n,EQAR,,CLUMP,50,d,0.000283529,0.014176437
DALTON,39_2,2,ALCR,0.6,90,y,EQAR,,CLUMP,50,d,2.83E-05,0.001413717
DALTON,39_2,2,ALCR,1.6,100,y,EQAR,,CLUMP,50,d,0.000201062,0.010053096
DALTON,39_2,2,ALCR,1.9,100,y,EQAR,,CLUMP,50,d,0.000283529,0.014176437
DALTON,39_2,2,ALCR,0.9,95,n,EQAR,,CLUMP,50,d,6.36E-05,0.003180863
DALTON,39_2,2,ALCR,1.4,95,n,EQAR,,CLUMP,50,d,0.000153938,0.007696902
DALTON,39_2,2,ALCR,2.7,95,n,EQAR,,CLUMP,50,d,0.000572555,0.028627763
DALTON,39_2,2,ALCR,1.3,60,y,EQAR,,CLUMP,50,d,0.000132732,0.006636614
DALTON,39_2,2,ALCR,2.1,60,y,EQAR,,CLUMP,50,d,0.000346361,0.01731803
DALTON,39_2,2,ALCR,2,80,n,EQAR,,CLUMP,50,d,0.000314159,0.015707963
DALTON,39_2,2,ALCR,1.6,40,y,EQAR,,CLUMP,50,d,0.000201062,0.010053096
DALTON,39_2,2,ALCR,1.3,80,n,EQAR,,CLUMP,50,d,0.000132732,0.006636614
DALTON,39_2,2,ALCR,1.2,60,n,EQAR,,CLUMP,50,d,0.000113097,0.005654867
DALTON,39_2,2,ALCR,0.9,60,y,EQAR,,CLUMP,50,d,6.36E-05,0.003180863
DALTON,39_2,2,ALCR,2.1,95,y,EQAR,,CLUMP,50,d,0.000346361,0.01731803
DALTON,39_2,2,ALCR,0.4,95,n,EQAR,,CLUMP,50,d,1.26E-05,0.000628319
DALTON,39_2,2,BENE,1.5,95,y,POPA,START,CLUMP,50,d,0.000176715,0.008835729
DALTON,39_2,2,BENE,1.9,85,y,POPA,END,CLUMP,50,d,0.000283529,0.014176437
DALTON,39_2,2,BENE,2.1,100,n,POPA,START,CLUMP,50,d,0.000346361,0.01731803
DALTON,39_2,2,BENE,0.7,100,n,POPA,,CLUMP,50,d,3.85E-05,0.001924226
DALTON,39_2,2,BENE,0.9,100,n,POPA,,CLUMP,50,d,6.36E-05,0.003180863
DALTON,39_2,2,BENE,0.7,100,n,POPA,END,CLUMP,50,d,3.85E-05,0.001924226
DALTON,39_2,2,BENE,1.4,90,y,POPA,START,CLUMP,50,d,0.000153938,0.007696902
DALTON,39_2,2,BENE,1.2,95,y,POPA,END,CLUMP,50,d,0.000113097,0.005654867
DALTON,39_2,2,BENE,1.2,20,y,POPA,START,CLUMP,50,d,0.000113097,0.005654867
DALTON,39_2,2,BENE,1.5,20,y,POPA,,CLUMP,50,d,0.000176715,0.008835729
DALTON,39_2,2,BENE,1.4,40,y,POPA,,CLUMP,50,d,0.000153938,0.007696902
DALTON,39_2,2,BENE,2.2,100,n,POPA,,CLUMP,50,d,0.000380133,0.019006636
DALTON,39_2,2,BENE,1.2,60,n,POPA,,CLUMP,50,d,0.000113097,0.005654867
DALTON,39_2,2,BENE,1.8,100,n,POPA,,CLUMP,50,d,0.000254469,0.01272345
DALTON,39_2,2,BENE,2.8,90,n,POPA,START,CLUMP,50,d,0.000615752,0.030787608
DALTON,39_2,2,BENE,2.3,90,n,POPA,,CLUMP,50,d,0.000415476,0.020773781
DALTON,39_2,2,BENE,2.5,100,n,POPA,END,CLUMP,50,d,0.000490874,0.024543693
DALTON,39_2,2,BENE,1.5,90,n,POPA,START,CLUMP,50,d,0.000176715,0.008835729
DALTON,39_2,2,BENE,1.6,100,n,POPA,,CLUMP,50,d,0.000201062,0.010053096
DALTON,39_2,2,BENE,1.9,100,n,POPA,,CLUMP,50,d,0.000283529,0.014176437
DALTON,39_2,2,BENE,1.1,80,y,POPA,,CLUMP,50,d,9.50E-05,0.004751659
DALTON,39_2,2,BENE,1.5,100,n,POPA,,CLUMP,50,d,0.000176715,0.008835729
DALTON,39_2,2,BENE,1.1,3,y,POPA,,CLUMP,50,d,9.50E-05,0.004751659
DALTON,39_2,2,BENE,0.8,15,y,POPA,,CLUMP,50,d,5.03E-05,0.002513274
DALTON,39_2,2,BENE,1.2,6,y,POPA,,CLUMP,50,d,0.000113097,0.005654867
DALTON,39_2,2,BENE,2.2,80,y,POPA,,CLUMP,50,d,0.000380133,0.019006636
DALTON,39_2,2,BENE,1.1,95,y,POPA,,CLUMP,50,d,9.50E-05,0.004751659
DALTON,39_2,2,BENE,0.6,100,y,POPA,END,CLUMP,50,d,2.83E-05,0.001413717
DALTON,39_2,2,BENE,2.9,90,n,POPA,START,CLUMP,50,d,0.00066052,0.033025993
DALTON,39_2,2,BENE,0.6,60,y,POPA,,CLUMP,50,d,2.83E-05,0.001413717
DALTON,39_2,2,BENE,1.7,60,y,POPA,,CLUMP,50,d,0.00022698,0.011349003
DALTON,39_2,2,BENE,1.1,7,y,POPA,,CLUMP,50,d,9.50E-05,0.004751659
DALTON,39_2,2,BENE,2.1,15,y,POPA,,CLUMP,50,d,0.000346361,0.01731803
DALTON,39_2,2,BENE,1.5,100,n,POPA,,IND,50,d,0.000176715,0.008835729
DALTON,39_2,2,BENE,1.4,100,n,POPA,,IND,50,d,0.000153938,0.007696902
DALTON,39_2,2,ALCR,1.3,95,y,POPA,,IND,50,d,0.000132732,0.006636614
DALTON,56_2,2,SALIX,0.5,95,n,EQAR,,IND,100,d,1.96E-05,0.001963495
DALTON,56_2,2,BENE,1.3,100,y,EQAR,,IND,100,d,0.000132732,0.013273229
DALTON,56_2,2,BENE,1.7,95,n,VAVI,START,CLUMP,100,d,0.00022698,0.022698007
DALTON,56_2,2,BENE,0.9,100,n,VAVI,,CLUMP,100,d,6.36E-05,0.006361725
DALTON,56_2,2,BENE,0.5,100,y,VAVI,END,CLUMP,100,d,1.96E-05,0.001963495
DALTON,56_2,2,SALIX,0.5,100,y,VAVI,,IND,100,d,1.96E-05,0.001963495
DALTON,56_2,2,BENE,0.9,100,n,LITTER,,IND,100,d,6.36E-05,0.006361725
DALTON,56_2,2,BENE,1.9,100,y,EQAR,START,CLUMP,100,d,0.000283529,0.028352874
DALTON,56_2,2,BENE,0.8,100,y,EQAR,,CLUMP,100,d,5.03E-05,0.005026548
DALTON,56_2,2,BENE,1.1,100,n,EQAR,END,CLUMP,100,d,9.50E-05,0.009503318
DALTON,56_2,2,SALIX,0.6,100,n,EQAR,,IND,100,d,2.83E-05,0.002827433
DALTON,56_2,2,BENE,0.8,100,n,EQAR,,IND,100,d,5.03E-05,0.005026548
DALTON,56_2,2,BENE,0.9,100,n,EQAR,START,CLUMP,100,d,6.36E-05,0.006361725
DALTON,56_2,2,BENE,1.1,100,n,EQAR,,CLUMP,100,d,9.50E-05,0.009503318
DALTON,56_2,2,BENE,1.7,100,n,EQAR,,CLUMP,100,d,0.00022698,0.022698007
DALTON,56_2,2,BENE,1,100,n,EQAR,,CLUMP,100,d,7.85E-05,0.007853982
DALTON,56_2,2,BENE,1.6,95,y,EQAR,END,CLUMP,100,d,0.000201062,0.020106193
DALTON,56_2,2,BENE,1.4,100,n,EQAR,START,CLUMP,100,d,0.000153938,0.015393804
DALTON,56_2,2,BENE,0.9,100,n,EQAR,END,CLUMP,100,d,6.36E-05,0.006361725
DALTON,56_2,2,BENE,1.3,100,y,EQAR,,IND,100,d,0.000132732,0.013273229
DALTON,56_2,2,SALIX,1,80,y,EQAR,,IND,100,d,7.85E-05,0.007853982
DALTON,56_2,2,SALIX,0.9,90,n,EQAR,,IND,100,d,6.36E-05,0.006361725
DALTON,56_2,2,BENE,3.6,100,n,EQAR,,IND,100,d,0.001017876,0.101787602
DALTON,56_2,2,SALIX,1.6,50,n,EQAR,,IND,100,d,0.000201062,0.020106193
DALTON,56_2,2,SALIX,1.3,90,n,EQAR,,IND,100,d,0.000132732,0.013273229
DALTON,56_2,2,BENE,1.1,95,y,EQAR,,IND,100,d,9.50E-05,0.009503318
DALTON,56_2,2,BENE,1.1,100,n,EQAR,,IND,100,d,9.50E-05,0.009503318
DALTON,56_2,2,BENE,1.3,95,n,EQAR,,IND,100,d,0.000132732,0.013273229
DALTON,56_2,2,BENE,0.6,100,n,EQAR,,IND,100,d,2.83E-05,0.002827433
DALTON,56_2,2,BENE,0.4,90,n,EQAR,,IND,100,d,1.26E-05,0.001256637
DALTON,56_2,2,ALCR,2.3,95,y,EQAR,,IND,100,d,0.000415476,0.041547563
DALTON,56_2,2,BENE,0.9,100,n,EQAR,,IND,100,d,6.36E-05,0.006361725
DALTON,56_2,2,BENE,0.6,100,n,EQAR,,IND,100,d,2.83E-05,0.002827433
DALTON,56_2,2,BENE,0.3,100,n,EQAR,,IND,100,d,7.07E-06,0.000706858
DALTON,56_2,2,BENE,0.4,95,y,EQAR,,IND,100,d,1.26E-05,0.001256637
DALTON,56_2,2,BENE,0.1,90,y,EQAR,,IND,100,d,7.85E-07,7.85E-05
DALTON,56_2,2,BENE,0.3,100,n,VAVI,START,CLUMP,100,d,7.07E-06,0.000706858
DALTON,56_2,2,BENE,0.3,100,y,VAVI,,CLUMP,100,d,7.07E-06,0.000706858
DALTON,56_2,2,BENE,0.4,100,n,VAVI,END,CLUMP,100,d,1.26E-05,0.001256637
DALTON,56_2,2,SALIX,0.5,100,n,VAVI,,IND,100,d,1.96E-05,0.001963495
DALTON,56_2,2,BENE,0.9,95,n,EQAR,,IND,100,d,6.36E-05,0.006361725
DALTON,56_2,2,BENE,0.8,100,n,EQAR,,IND,100,d,5.03E-05,0.005026548
DALTON,56_2,2,BENE,0.6,100,n,VAVI,,IND,100,d,2.83E-05,0.002827433
DALTON,56_2,2,BENE,0.4,100,n,EQAR,START,CLUMP,100,d,1.26E-05,0.001256637
DALTON,56_2,2,BENE,0.7,100,y,EQAR,,CLUMP,100,d,3.85E-05,0.003848451
DALTON,56_2,2,BENE,0.7,100,n,EQAR,,CLUMP,100,d,3.85E-05,0.003848451
DALTON,56_2,2,BENE,0.5,100,y,EQAR,END,CLUMP,100,d,1.96E-05,0.001963495
DALTON,56_2,2,BENE,0.6,100,n,EQAR,,IND,100,d,2.83E-05,0.002827433
DALTON,56_2,2,BENE,1.1,100,n,EQAR,,IND,100,d,9.50E-05,0.009503318
DALTON,56_2,2,BENE,0.6,90,n,LITTER,START,CLUMP,100,d,2.83E-05,0.002827433
DALTON,56_2,2,BENE,1.9,100,n,LITTER,,CLUMP,100,d,0.000283529,0.028352874
DALTON,56_2,2,BENE,0.8,95,n,LITTER,END,CLUMP,100,d,5.03E-05,0.005026548
DALTON,56_2,2,BENE,0.8,100,n,EQAR,,IND,100,d,5.03E-05,0.005026548
DALTON,56_2,2,BENE,1,100,n,EQAR,,IND,100,d,7.85E-05,0.007853982
DALTON,56_2,2,BENE,0.9,100,n,EQAR,,IND,100,d,6.36E-05,0.006361725
DALTON,56_2,2,ALCR,1.7,100,y,EQAR,,IND,100,d,0.00022698,0.022698007
DALTON,56_2,2,BENE,0.9,100,n,EQAR,,IND,100,d,6.36E-05,0.006361725
DALTON,56_2,2,BENE,0.9,10,n,EQAR,,IND,100,d,6.36E-05,0.006361725
DALTON,56_2,2,BENE,0.7,100,n,EQAR,,IND,100,d,3.85E-05,0.003848451
DALTON,56_2,2,BENE,0.7,100,y,EQAR,,IND,100,d,3.85E-05,0.003848451
DALTON,56_2,2,BENE,0.8,100,n,EQAR,,IND,100,d,5.03E-05,0.005026548
DALTON,56_2,2,BENE,0.7,100,n,EQAR,,IND,100,d,3.85E-05,0.003848451
DALTON,56_2,2,BENE,0.6,95,n,EQAR,,IND,100,d,2.83E-05,0.002827433
DALTON,56_2,2,BENE,0.1,100,n,EQAR,,IND,100,d,7.85E-07,7.85E-05
DALTON,56_2,2,BENE,0.4,100,n,EQAR,,IND,100,d,1.26E-05,0.001256637
DALTON,56_2,2,BENE,0.1,100,n,EQAR,,IND,100,d,7.85E-07,7.85E-05
DALTON,56_2,2,BENE,1.8,100,y,EQAR,,IND,100,d,0.000254469,0.0254469
